Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,58.73,60.74,58.6,60.71,3250000,0.0,0
2019-03-22,60.88,62.26,60.83,61.2,3413800,0.0,0
2019-03-25,61.22,61.84,60.88,61.65,2335200,0.0,0
2019-03-26,61.94,62.19,61.54,62.14,1514500,0.0,0
2019-03-27,61.84,62.25,61.23,61.25,2202900,0.0,0
2019-03-28,61.45,62.24,61.3,62.17,2176200,0.0,0
2019-03-29,62.23,62.36,61.33,61.55,2780600,0.7925,0
2019-04-01,61.32,61.41,60.15,61.02,2257600,0.0,0
2019-04-02,61.06,61.4,60.23,61.36,2026500,0.0,0
2019-04-03,61.22,61.34,60.45,60.59,2196500,0.0,0
2019-04-04,60.7,60.7,59.63,60.19,1669000,0.0,0
2019-04-05,60.11,61.04,59.86,60.94,1378500,0.0,0
2019-04-08,61.01,61.24,59.99,60.01,1112800,0.0,0
2019-04-09,60.06,60.12,59.76,59.91,1131600,0.0,0
2019-04-10,60.23,60.7,60.01,60.38,1329200,0.0,0
2019-04-11,60.4,60.6,59.51,59.7,1576500,0.0,0
2019-04-12,59.57,59.84,58.89,59.83,1388000,0.0,0
2019-04-15,59.85,60.05,59.46,59.9,1322200,0.0,0
2019-04-16,59.81,59.88,57.4,57.63,2671600,0.0,0
2019-04-17,57.68,57.71,55.99,56.23,2662800,0.0,0
2019-04-18,56.22,57.22,55.98,56.94,1565900,0.0,0
2019-04-22,56.78,56.91,55.17,55.72,2943900,0.0,0
2019-04-23,56.1,56.63,55.76,56.32,2545100,0.0,0
2019-04-24,56.71,57.65,56.44,57.41,2701400,0.0,0
2019-04-25,57.32,57.91,56.99,57.37,2345900,0.0,0
2019-04-26,58.03,58.95,57.56,58.41,2163400,0.0,0
2019-04-29,58.42,58.76,57.65,57.78,1543000,0.0,0
2019-04-30,58.18,59.18,57.63,58.95,2790900,0.0,0
2019-05-01,59.07,59.69,58.75,58.96,1597400,0.0,0
2019-05-02,59.06,59.79,58.8,59.35,2198400,0.0,0
2019-05-03,59.56,60.36,59.29,60.27,1768000,0.0,0
2019-05-06,60.13,60.49,59.59,59.84,1193100,0.0,0
2019-05-07,59.83,59.9,58.33,58.81,1546700,0.0,0
2019-05-08,58.86,59.64,58.86,58.91,1466000,0.0,0
2019-05-09,58.94,59.55,58.45,59.5,943800,0.0,0
2019-05-10,59.47,60.43,59.34,60.33,912900,0.0,0
2019-05-13,60.06,61.26,60.05,61.17,1323700,0.0,0
2019-05-14,61.02,61.54,60.8,61.24,1165200,0.0,0
2019-05-15,61.26,62.08,61.26,61.92,1257700,0.0,0
2019-05-16,61.91,62.62,61.65,62.38,1294200,0.0,0
2019-05-17,62.19,62.73,61.93,62.67,1313900,0.0,0
2019-05-20,62.7,62.89,61.43,61.84,1095600,0.0,0
2019-05-21,62.02,62.43,61.89,62.23,920900,0.0,0
2019-05-22,62.17,62.65,62.02,62.63,1050800,0.0,0
2019-05-23,62.53,63.27,62.36,63.27,1733100,0.0,0
2019-05-24,63.31,63.89,63.25,63.6,1189200,0.0,0
2019-05-28,63.86,64.07,62.39,62.41,2364400,0.0,0
2019-05-29,62.6,62.69,61.68,61.96,1430300,0.0,0
2019-05-30,62.03,62.47,61.55,61.89,1536300,0.0,0
2019-05-31,61.69,62.72,61.42,62.02,1959100,0.0,0
2019-06-03,62.3,62.51,61.77,61.88,2270900,0.0,0
2019-06-04,60.38,60.52,59.77,60.0,9923700,0.0,0
2019-06-05,60.36,61.54,60.05,61.52,5064900,0.0,0
2019-06-06,61.92,62.09,61.03,61.5,3302400,0.0,0
2019-06-07,62.09,62.68,61.62,62.33,2465700,0.0,0
2019-06-10,62.17,62.25,61.49,61.97,2244400,0.0,0
2019-06-11,62.04,62.21,61.35,62.21,2532400,0.0,0
2019-06-12,62.34,62.93,62.14,62.56,2553100,0.0,0
2019-06-13,62.56,63.11,62.38,63.11,1450000,0.0,0
2019-06-14,63.22,64.6,63.05,64.4,3743400,0.0,0
2019-06-17,64.58,66.21,64.43,66.17,3607300,0.0,0
2019-06-18,66.46,66.62,65.5,66.17,2530300,0.0,0
2019-06-19,65.98,67.47,65.49,67.18,2977900,0.0,0
2019-06-20,67.95,71.13,67.86,69.22,7832100,0.0,0
2019-06-21,69.24,69.24,67.31,67.83,7784500,0.0,0
2019-06-24,68.37,68.52,67.62,67.75,2843500,0.0,0
2019-06-25,67.92,68.6,66.96,66.99,3428100,0.0,0
2019-06-26,66.85,66.99,65.24,66.01,2897300,0.0,0
2019-06-27,66.34,66.99,66.22,66.96,2129000,0.0,0
2019-06-28,67.14,67.26,66.24,66.69,2814000,0.7925,0
2019-07-01,66.92,67.06,64.96,66.26,2038600,0.0,0
2019-07-02,66.33,67.48,66.19,67.38,2797300,0.0,0
2019-07-03,67.69,68.92,67.6,68.8,1321200,0.0,0
2019-07-05,68.12,68.41,66.5,68.1,1497200,0.0,0
2019-07-08,68.05,68.68,67.93,68.4,2001800,0.0,0
2019-07-09,68.51,68.87,68.11,68.67,1833900,0.0,0
2019-07-10,69.0,69.36,68.51,69.14,2314400,0.0,0
2019-07-11,68.97,69.08,67.59,67.75,1768200,0.0,0
2019-07-12,67.75,67.99,66.93,67.44,2049400,0.0,0
2019-07-15,67.68,67.97,66.84,66.93,1451600,0.0,0
2019-07-16,66.68,66.69,65.95,66.51,1713400,0.0,0
2019-07-17,66.68,67.15,66.27,66.93,1614800,0.0,0
2019-07-18,66.82,67.39,66.58,67.23,1256700,0.0,0
2019-07-19,67.22,67.25,65.15,65.3,1958200,0.0,0
2019-07-22,65.45,65.98,65.1,65.66,1382400,0.0,0
2019-07-23,65.8,66.48,65.14,66.41,2113800,0.0,0
2019-07-24,66.59,66.59,65.48,66.23,1753300,0.0,0
2019-07-25,66.07,66.1,65.43,65.85,1803000,0.0,0
2019-07-26,65.98,66.6,64.09,65.4,2394200,0.0,0
2019-07-29,65.83,66.82,65.56,65.91,1586600,0.0,0
2019-07-30,65.81,66.6,65.71,66.06,986800,0.0,0
2019-07-31,66.09,66.57,64.99,65.66,1720900,0.0,0
2019-08-01,65.7,66.3,64.9,66.03,2069300,0.0,0
2019-08-02,66.11,67.5,66.11,67.16,1749600,0.0,0
2019-08-05,67.14,67.38,64.9,66.22,1779100,0.0,0
2019-08-06,66.16,67.55,65.52,67.09,1420000,0.0,0
2019-08-07,67.31,69.46,66.67,69.15,3300400,0.0,0
2019-08-08,68.9,70.13,68.32,70.13,2293300,0.0,0
2019-08-09,69.97,70.34,69.19,69.84,1793300,0.0,0
2019-08-12,69.86,70.47,69.44,69.89,1300500,0.0,0
2019-08-13,69.93,70.02,68.71,69.56,1496100,0.0,0
2019-08-14,69.71,70.22,69.09,69.71,2779200,0.0,0
2019-08-15,69.8,71.2,69.8,71.11,2079400,0.0,0
2019-08-16,71.0,71.66,70.92,71.42,1838600,0.0,0
2019-08-19,71.14,71.83,70.76,71.54,1566500,0.0,0
2019-08-20,71.94,71.96,70.74,70.76,1466800,0.0,0
2019-08-21,70.71,71.16,69.94,70.91,1100800,0.0,0
2019-08-22,70.83,71.11,70.38,70.9,1064100,0.0,0
2019-08-23,70.93,71.62,69.92,70.24,1502700,0.0,0
2019-08-26,70.61,71.24,70.01,71.16,1960000,0.0,0
2019-08-27,71.52,72.11,70.97,71.03,1794600,0.0,0
2019-08-28,71.1,71.33,70.64,71.05,1288600,0.0,0
2019-08-29,71.31,71.87,70.95,71.83,1460700,0.0,0
2019-08-30,71.94,72.1,71.42,71.61,1073900,0.0,0
2019-09-03,71.39,72.92,71.24,72.8,1594300,0.0,0
2019-09-04,73.18,73.57,72.93,73.2,1324900,0.0,0
2019-09-05,72.76,72.96,71.56,72.81,2018500,0.0,0
2019-09-06,72.82,73.46,72.66,73.4,1428400,0.0,0
2019-09-09,72.96,73.33,71.73,72.13,1342500,0.0,0
2019-09-10,71.47,71.69,69.65,70.21,2697700,0.0,0
2019-09-11,69.84,70.57,69.1,69.72,3305600,0.0,0
2019-09-12,70.43,71.11,69.39,69.44,2892500,0.0,0
2019-09-13,69.16,69.85,68.0,68.28,3402200,0.0,0
2019-09-16,68.3,69.28,68.22,69.14,2286100,0.0,0
2019-09-17,69.72,71.23,69.72,71.21,1673400,0.0,0
2019-09-18,71.63,71.63,70.01,70.75,1461600,0.0,0
2019-09-19,70.96,71.12,70.41,70.52,1387700,0.0,0
2019-09-20,70.72,70.87,70.17,70.46,4720000,0.0,0
2019-09-23,70.39,71.23,70.39,70.87,1676100,0.0,0
2019-09-24,71.12,71.35,70.17,70.7,1628700,0.0,0
2019-09-25,70.76,71.31,70.52,71.07,1115000,0.0,0
2019-09-26,71.36,72.32,71.26,71.94,997200,0.0,0
2019-09-27,72.04,72.15,71.22,71.86,1174800,0.0,0
