Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,71.85,74.04,71.55,73.41,2107300,0.0,0
2019-03-22,72.9,73.34,69.19,69.61,2942100,0.0,0
2019-03-25,69.56,70.26,68.88,69.58,1460600,0.0,0
2019-03-26,70.16,71.88,69.82,71.73,1657600,0.0,0
2019-03-27,71.9,72.65,71.29,71.54,1626900,0.0,0
2019-03-28,71.22,72.56,70.97,72.49,2015500,0.0,0
2019-03-29,72.74,73.96,71.6,73.26,2523600,0.0,0
2019-04-01,73.67,74.3,72.96,74.2,1876500,0.0,0
2019-04-02,74.13,74.95,73.73,74.29,1028200,0.0,0
2019-04-03,74.59,75.02,73.72,74.51,1181900,0.0,0
2019-04-04,74.6,75.61,74.33,75.6,1133100,0.0,0
2019-04-05,75.92,76.32,75.56,75.76,1050200,0.0,0
2019-04-08,75.52,75.62,74.58,74.95,1138700,0.0,0
2019-04-09,74.37,74.44,73.39,73.49,972000,0.0,0
2019-04-10,73.54,74.06,73.02,73.9,840500,0.0,0
2019-04-11,73.9,74.51,73.36,74.48,906200,0.0,0
2019-04-12,75.18,76.54,75.01,76.3,1144900,0.0,0
2019-04-15,76.14,76.35,74.68,75.18,883000,0.0,0
2019-04-16,75.31,76.51,75.05,76.49,1042000,0.0,0
2019-04-17,76.69,77.34,76.21,76.58,1563300,0.0,0
2019-04-18,76.99,77.86,76.56,77.44,1436900,0.0,0
2019-04-22,77.02,77.15,75.89,76.02,929600,0.0,0
2019-04-23,76.14,76.45,75.72,76.26,974800,0.0,0
2019-04-24,75.71,76.83,74.97,76.1,1167100,0.0,0
2019-04-25,76.77,76.77,69.8,71.01,5177200,0.0,0
2019-04-26,71.2,72.82,71.15,72.77,2772200,0.0,0
2019-04-29,72.72,74.01,71.81,73.36,2077800,0.0,0
2019-04-30,73.34,74.28,73.17,73.61,1698900,0.0,0
2019-05-01,73.09,75.4,72.99,74.64,2986600,0.0,0
2019-05-02,73.56,75.37,73.36,74.51,12139100,0.0,0
2019-05-03,74.94,75.41,74.22,74.65,4985800,0.0,0
2019-05-06,73.1,74.13,71.86,73.79,4119300,0.0,0
2019-05-07,73.05,73.29,71.79,72.46,4648300,0.0,0
2019-05-08,71.91,72.42,71.49,71.81,2102400,0.0,0
2019-05-09,71.2,71.37,69.53,71.21,3256300,0.12,0
2019-05-10,71.1,72.7,70.46,72.7,2348400,0.0,0
2019-05-13,70.9,71.62,69.45,70.17,3640500,0.0,0
2019-05-14,70.33,70.33,68.96,69.22,2666700,0.0,0
2019-05-15,68.59,68.65,67.1,68.08,2570700,0.0,0
2019-05-16,68.32,68.89,67.9,68.02,1717500,0.0,0
2019-05-17,67.11,67.48,65.45,65.6,2786200,0.0,0
2019-05-20,65.19,65.43,63.81,64.08,1916500,0.0,0
2019-05-21,64.56,65.2,63.72,64.36,1866300,0.0,0
2019-05-22,63.88,65.12,63.72,65.04,2103400,0.0,0
2019-05-23,64.41,64.41,62.38,63.07,2232000,0.0,0
2019-05-24,63.61,65.27,63.49,65.16,2806000,0.0,0
2019-05-28,65.41,66.08,65.2,65.68,2427800,0.0,0
2019-05-29,65.35,65.35,63.01,64.04,2166100,0.0,0
2019-05-30,63.85,64.53,63.14,63.42,1054800,0.0,0
2019-05-31,62.71,62.81,61.93,62.09,1906200,0.0,0
2019-06-03,62.06,63.28,61.67,63.03,2123600,0.0,0
2019-06-04,63.69,65.71,63.69,65.66,1639700,0.0,0
2019-06-05,65.97,67.09,65.2,67.05,2070900,0.0,0
2019-06-06,67.12,67.8,66.46,66.9,1756000,0.0,0
2019-06-07,67.27,67.69,66.63,67.06,1302800,0.0,0
2019-06-10,67.64,68.43,67.31,67.71,1106200,0.0,0
2019-06-11,68.23,69.14,67.91,68.14,1589800,0.0,0
2019-06-12,67.91,68.21,67.49,67.89,985300,0.0,0
2019-06-13,68.15,68.75,67.54,68.71,1234200,0.0,0
2019-06-14,68.53,68.73,67.57,67.69,1767700,0.0,0
2019-06-17,67.51,68.23,66.83,67.74,1481500,0.0,0
2019-06-18,68.39,69.89,68.36,69.53,1569600,0.0,0
2019-06-19,69.53,70.86,69.35,70.54,1391700,0.0,0
2019-06-20,71.56,72.03,70.66,71.96,1240700,0.0,0
2019-06-21,71.96,72.46,71.46,72.43,2425800,0.0,0
2019-06-24,71.14,71.23,67.48,67.81,2714700,0.0,0
2019-06-25,67.95,68.87,67.47,68.17,1328800,0.0,0
2019-06-26,68.36,68.43,67.7,68.3,873100,0.0,0
2019-06-27,68.76,69.44,68.45,68.75,836000,0.0,0
2019-06-28,68.91,71.47,68.9,71.43,2630300,0.0,0
2019-07-01,72.17,73.13,72.17,73.02,1834200,0.0,0
2019-07-02,72.66,73.24,71.89,73.12,1589700,0.0,0
2019-07-03,73.22,73.26,72.76,73.19,622800,0.0,0
2019-07-05,72.61,73.49,72.22,73.4,721000,0.0,0
2019-07-08,73.05,74.05,72.98,73.52,1246300,0.0,0
2019-07-09,72.87,72.88,71.18,71.94,1700500,0.0,0
2019-07-10,72.03,72.51,69.54,69.62,1026300,0.0,0
2019-07-11,69.83,70.31,68.8,69.48,1154000,0.0,0
2019-07-12,69.57,71.71,69.43,71.71,992400,0.0,0
2019-07-15,71.53,72.03,70.4,70.89,936400,0.0,0
2019-07-16,70.85,72.39,70.42,72.17,1048100,0.0,0
2019-07-17,71.81,72.3,70.35,70.36,1019100,0.0,0
2019-07-18,70.42,71.03,69.08,69.22,1083400,0.0,0
2019-07-19,69.54,70.3,69.08,69.74,1502000,0.0,0
2019-07-22,69.82,70.45,69.3,70.13,1149800,0.0,0
2019-07-23,70.49,72.16,70.32,71.65,988700,0.0,0
2019-07-24,71.0,72.7,71.0,72.66,956300,0.0,0
2019-07-25,72.76,72.86,71.24,71.39,690200,0.0,0
2019-07-26,71.35,71.78,70.64,71.51,1233500,0.0,0
2019-07-29,71.35,71.79,70.21,70.77,2602100,0.0,0
2019-07-30,71.02,77.5,70.29,77.46,3949500,0.0,0
2019-07-31,77.38,78.36,76.52,77.32,2443900,0.0,0
2019-08-01,77.41,78.08,74.86,75.61,1501500,0.0,0
2019-08-02,75.14,76.8,74.12,74.99,1558300,0.0,0
2019-08-05,73.28,73.83,71.37,72.17,2251600,0.0,0
2019-08-06,72.52,72.9,70.65,72.81,1532900,0.0,0
2019-08-07,71.82,75.3,70.87,74.96,2073200,0.0,0
