Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,60.62,61.7,60.37,61.5,3795200,0.0,0
2019-03-22,61.52,61.82,60.33,60.34,4855400,0.0,0
2019-03-25,60.27,60.33,59.32,59.65,4567200,0.0,0
2019-03-26,59.81,60.69,59.58,59.87,5582400,0.0,0
2019-03-27,59.66,60.25,59.12,60.17,5180900,0.0,0
2019-03-28,60.28,61.35,60.23,60.44,5768300,0.0,0
2019-03-29,60.67,61.65,60.57,61.18,4993100,0.0,0
2019-04-01,61.45,61.99,61.05,61.39,6328600,0.0,0
2019-04-02,53.99,54.57,53.18,53.53,36877800,0.0,0
2019-04-03,53.7,53.86,52.68,53.03,17901900,0.0,0
2019-04-04,53.0,53.18,52.07,52.36,14150500,0.0,0
2019-04-05,52.56,53.39,52.5,52.88,10509500,0.0,0
2019-04-08,52.91,53.57,52.7,53.24,7121000,0.0,0
2019-04-09,52.97,53.21,52.56,52.7,8987700,0.0,0
2019-04-10,52.71,52.92,52.56,52.71,5483200,0.0,0
2019-04-11,52.78,52.99,51.56,51.67,8194100,0.0,0
2019-04-12,52.0,52.21,51.63,51.68,7298800,0.0,0
2019-04-15,51.8,52.66,51.8,52.44,5963500,0.0,0
2019-04-16,52.76,53.14,52.18,53.03,7912100,0.0,0
2019-04-17,53.18,53.42,52.29,53.32,10103100,0.0,0
2019-04-18,53.39,53.55,52.77,52.82,7991300,0.0,0
2019-04-22,52.78,53.1,52.29,52.31,5445800,0.0,0
2019-04-23,52.51,52.55,51.41,51.46,8327000,0.0,0
2019-04-24,51.43,52.2,51.43,51.7,5997200,0.0,0
2019-04-25,51.57,51.65,50.9,50.94,6641200,0.0,0
2019-04-26,50.98,51.21,50.52,51.1,7253700,0.0,0
2019-04-29,51.17,51.93,51.03,51.79,5095200,0.0,0
2019-04-30,51.89,52.09,51.28,51.8,8175400,0.0,0
2019-05-01,51.8,52.31,51.73,51.9,5954200,0.0,0
2019-05-02,52.03,52.12,51.23,52.01,5301800,0.0,0
2019-05-03,52.39,52.53,52.06,52.29,5517000,0.0,0
2019-05-06,51.94,52.31,51.38,52.14,5520900,0.0,0
2019-05-07,51.73,52.09,50.93,51.19,6446200,0.0,0
2019-05-08,51.2,52.07,50.66,51.73,5347400,0.0,0
2019-05-09,51.48,52.03,50.93,51.79,4661200,0.0,0
2019-05-10,51.71,51.83,50.78,51.65,5039100,0.0,0
2019-05-13,51.19,51.33,50.24,50.4,5670200,0.0,0
2019-05-14,50.5,51.33,50.33,50.84,5458500,0.0,0
2019-05-15,50.5,51.21,50.08,50.99,4570200,0.0,0
2019-05-16,51.25,51.67,50.58,50.76,4722300,0.0,0
2019-05-17,50.93,51.52,50.64,50.97,4812300,0.44,0
2019-05-20,50.73,51.41,50.58,50.96,4641700,0.0,0
2019-05-21,51.09,51.53,50.87,51.45,4267700,0.0,0
2019-05-22,51.45,51.69,51.08,51.62,3372200,0.0,0
2019-05-23,51.18,51.19,50.08,50.32,5041400,0.0,0
2019-05-24,50.49,50.55,49.88,50.48,4296000,0.0,0
2019-05-28,50.55,50.98,50.34,50.43,6457800,0.0,0
2019-05-29,50.28,50.31,49.52,49.86,4208800,0.0,0
2019-05-30,49.95,50.01,48.95,49.29,3844400,0.0,0
2019-05-31,49.04,49.06,48.08,48.11,6568200,0.0,0
2019-06-03,48.29,49.39,48.29,48.67,6024200,0.0,0
2019-06-04,49.24,50.34,49.1,50.22,5978000,0.0,0
2019-06-05,50.54,50.58,49.24,49.53,4507500,0.0,0
2019-06-06,49.65,49.88,49.12,49.71,3418200,0.0,0
2019-06-07,49.96,50.8,49.53,50.67,4217700,0.0,0
2019-06-10,50.8,51.38,50.58,50.99,3673800,0.0,0
2019-06-11,51.3,51.93,51.25,51.56,4503900,0.0,0
2019-06-12,51.63,51.63,50.36,50.82,4212100,0.0,0
2019-06-13,51.09,51.7,51.0,51.57,3329000,0.0,0
2019-06-14,51.55,51.73,50.83,51.26,3246300,0.0,0
2019-06-17,51.26,51.84,50.83,51.49,4108700,0.0,0
2019-06-18,51.95,52.59,51.36,51.48,5977900,0.0,0
2019-06-19,51.67,51.93,51.2,51.58,4959100,0.0,0
2019-06-20,51.61,52.18,51.2,51.56,6157600,0.0,0
2019-06-21,51.45,52.02,51.12,51.14,13972800,0.0,0
2019-06-24,51.05,51.28,50.49,50.66,6725500,0.0,0
2019-06-25,50.56,52.15,50.18,51.63,8535100,0.0,0
2019-06-26,51.74,51.8,50.99,51.07,5951100,0.0,0
2019-06-27,52.36,53.81,52.17,53.16,12144500,0.0,0
2019-06-28,53.11,53.42,52.51,53.31,10395400,0.0,0
2019-07-01,53.98,54.29,52.97,53.29,5721500,0.0,0
2019-07-02,53.34,53.78,52.84,53.59,5108100,0.0,0
2019-07-03,53.7,54.12,53.48,53.81,3990500,0.0,0
2019-07-05,53.74,54.18,53.39,53.81,4120600,0.0,0
2019-07-08,53.79,54.14,53.52,54.05,3819600,0.0,0
2019-07-09,53.97,54.39,53.76,54.12,3517000,0.0,0
2019-07-10,54.39,54.75,54.02,54.18,5217900,0.0,0
2019-07-11,55.15,55.53,53.91,54.23,7161300,0.0,0
2019-07-12,54.85,54.86,54.18,54.35,3826100,0.0,0
2019-07-15,54.57,54.76,54.35,54.5,3581100,0.0,0
2019-07-16,54.68,54.75,54.3,54.42,3661100,0.0,0
2019-07-17,54.3,54.41,52.91,53.16,5185600,0.0,0
2019-07-18,52.95,53.59,52.48,53.45,4249200,0.0,0
2019-07-19,53.49,53.74,53.01,53.08,3639600,0.0,0
2019-07-22,53.3,53.3,52.32,52.6,3944900,0.0,0
2019-07-23,52.79,53.51,52.4,53.29,4583100,0.0,0
2019-07-24,53.28,53.83,52.91,53.82,4000500,0.0,0
2019-07-25,53.82,53.87,53.14,53.4,3071700,0.0,0
2019-07-26,53.49,53.77,53.22,53.68,3009300,0.0,0
2019-07-29,53.72,54.16,53.6,53.75,2793100,0.0,0
2019-07-30,53.62,54.26,53.25,54.02,2774000,0.0,0
2019-07-31,53.9,54.07,52.45,53.13,6642200,0.0,0
2019-08-01,53.24,54.38,52.56,52.72,5920900,0.0,0
2019-08-02,52.84,53.0,51.75,52.34,4524000,0.0,0
2019-08-05,52.14,52.25,50.37,50.58,6751700,0.0,0
2019-08-06,50.7,50.95,49.52,50.17,6742300,0.0,0
2019-08-07,49.77,51.3,48.84,51.17,6258400,0.0,0
2019-08-08,51.35,51.71,51.05,51.7,3400300,0.0,0
2019-08-09,51.5,51.73,51.03,51.47,2915900,0.0,0
2019-08-12,51.46,51.57,50.39,50.7,3729300,0.0,0
2019-08-13,50.65,52.56,50.23,51.75,5257300,0.0,0
2019-08-14,51.13,51.13,49.1,49.15,6193600,0.0,0
2019-08-15,49.53,49.54,47.9,48.06,6285300,0.0,0
2019-08-16,48.39,49.48,48.27,49.22,4333800,0.0,0
2019-08-19,49.82,50.62,49.8,50.34,5127600,0.458,0
2019-08-20,50.39,50.71,49.82,49.86,3312000,0.0,0
2019-08-21,50.22,50.84,49.97,50.09,2962100,0.0,0
2019-08-22,50.33,50.58,49.86,50.13,3772700,0.0,0
2019-08-23,49.73,50.2,48.35,48.53,5945400,0.0,0
2019-08-26,49.18,49.33,48.77,49.24,3645400,0.0,0
2019-08-27,49.63,49.71,48.56,48.66,5049500,0.0,0
2019-08-28,48.47,49.19,48.25,49.15,2610200,0.0,0
2019-08-29,49.53,50.01,49.42,49.59,3271100,0.0,0
2019-08-30,49.87,50.37,49.64,50.37,5194900,0.0,0
2019-09-03,50.43,50.5,49.24,49.62,3975100,0.0,0
2019-09-04,49.92,50.79,49.92,50.61,4680000,0.0,0
2019-09-05,50.97,51.93,50.97,51.49,3807100,0.0,0
2019-09-06,51.83,51.96,51.32,51.72,2565600,0.0,0
2019-09-09,51.81,54.81,51.81,54.7,9416400,0.0,0
2019-09-10,54.68,56.09,54.57,55.97,6930900,0.0,0
2019-09-11,56.42,57.17,55.92,57.13,6992300,0.0,0
2019-09-12,57.07,57.07,54.38,54.67,6771700,0.0,0
2019-09-13,55.06,55.54,54.42,55.09,3872200,0.0,0
2019-09-16,54.46,54.81,54.18,54.45,3660800,0.0,0
2019-09-17,54.45,54.45,53.35,53.96,4841900,0.0,0
2019-09-18,53.77,53.85,53.06,53.54,3903800,0.0,0
2019-09-19,53.77,54.16,53.57,53.7,4365100,0.0,0
2019-09-20,53.52,55.05,53.39,54.12,10823700,0.0,0
2019-09-23,54.06,54.21,52.92,53.45,3778300,0.0,0
2019-09-24,53.8,53.88,52.38,52.77,5408600,0.0,0
2019-09-25,52.83,53.69,52.47,53.49,3385400,0.0,0
2019-09-26,53.83,53.94,52.7,53.21,3836300,0.0,0
2019-09-27,53.37,54.08,52.86,53.54,3403100,0.0,0
2019-09-30,53.74,54.62,53.68,54.43,3218300,0.0,0
2019-10-01,54.38,54.98,53.41,53.83,4824700,0.0,0
2019-10-02,53.66,53.75,51.89,51.98,5016000,0.0,0
2019-10-03,51.98,52.2,50.75,51.76,3625100,0.0,0
2019-10-04,51.9,52.21,51.23,52.12,3895400,0.0,0
2019-10-07,51.98,52.27,51.73,51.92,4427000,0.0,0
2019-10-08,51.51,51.91,51.03,51.26,4129700,0.0,0
2019-10-09,51.77,51.89,51.2,51.25,4737200,0.0,0
2019-10-10,51.4,52.42,51.4,52.08,3334200,0.0,0
2019-10-11,52.6,53.73,52.6,53.13,4803400,0.0,0
2019-10-14,52.88,53.1,52.32,52.81,2495600,0.0,0
2019-10-15,52.9,53.97,52.87,53.65,3390100,0.0,0
2019-10-16,53.61,54.32,53.39,53.79,2975000,0.0,0
2019-10-17,54.1,55.2,53.9,55.05,4815200,0.0,0
2019-10-18,55.12,55.27,54.39,54.42,4682400,0.0,0
2019-10-21,54.27,54.61,53.41,53.72,5180800,0.0,0
2019-10-22,54.0,54.62,53.65,54.44,3747900,0.0,0
2019-10-23,53.0,53.82,52.69,53.69,4589600,0.0,0
2019-10-24,53.72,54.38,52.97,53.58,3522400,0.0,0
2019-10-25,53.33,54.68,53.16,54.53,4806500,0.0,0
2019-10-28,55.14,55.55,54.05,54.91,8066800,0.0,0
2019-10-29,54.66,55.9,53.96,55.37,5968900,0.0,0
2019-10-30,55.25,55.67,54.33,54.97,3684400,0.0,0
2019-10-31,54.99,54.99,53.14,53.9,6969900,0.0,0
2019-11-01,54.2,56.79,54.13,56.46,8239000,0.0,0
2019-11-04,56.97,59.04,56.95,58.7,10758500,0.0,0
2019-11-05,59.03,63.47,58.17,60.23,28677900,0.0,0
2019-11-06,60.7,60.71,57.6,58.54,13655100,0.0,0
2019-11-07,58.86,59.83,57.62,57.73,9861700,0.0,0
2019-11-08,57.79,58.53,57.15,58.29,5450100,0.0,0
2019-11-11,61.64,62.23,60.23,61.25,24417800,0.0,0
2019-11-12,61.3,61.84,60.53,61.72,6901800,0.0,0
2019-11-13,61.63,61.82,60.79,61.25,4917100,0.0,0
2019-11-14,61.3,61.66,60.63,60.95,4184100,0.0,0
2019-11-15,61.34,62.34,61.27,61.6,5317400,0.458,0
2019-11-18,61.53,61.84,61.18,61.4,4575400,0.0,0
2019-11-19,61.62,61.62,60.57,60.92,4199200,0.0,0
2019-11-20,60.68,61.0,60.15,60.81,5933300,0.0,0
2019-11-21,60.83,60.88,59.94,60.09,3963200,0.0,0
2019-11-22,60.41,60.74,59.89,60.07,3506800,0.0,0
2019-11-25,60.16,60.52,60.04,60.14,4656800,0.0,0
2019-11-26,59.9,60.02,58.43,59.11,7656500,0.0,0
2019-11-27,59.27,59.65,58.74,59.59,4033800,0.0,0
2019-11-29,59.44,59.47,58.93,59.08,2177900,0.0,0
2019-12-02,58.79,58.98,57.95,58.76,5695000,0.0,0
2019-12-03,58.29,58.57,57.23,58.48,4816600,0.0,0
2019-12-04,59.17,59.3,58.14,58.4,3765700,0.0,0
2019-12-05,58.55,58.8,57.96,58.59,3814800,0.0,0
2019-12-06,58.87,59.4,58.08,58.12,3477200,0.0,0
2019-12-09,58.02,58.56,57.8,58.2,3953500,0.0,0
2019-12-10,58.34,58.39,57.75,57.9,3400800,0.0,0
2019-12-11,57.65,57.93,57.26,57.51,2951000,0.0,0
2019-12-12,57.8,58.77,57.64,58.07,3139800,0.0,0
2019-12-13,58.0,58.3,57.19,57.38,4356400,0.0,0
2019-12-16,57.68,58.26,57.28,57.3,5461500,0.0,0
2019-12-17,57.36,57.5,56.27,56.6,5417500,0.0,0
2019-12-18,56.73,57.01,56.44,56.7,4906100,0.0,0
2019-12-19,57.05,58.31,56.84,57.25,5198900,0.0,0
2019-12-20,57.82,58.47,57.26,57.88,8433100,0.0,0
2019-12-23,58.2,58.49,57.91,58.06,4813200,0.0,0
2019-12-24,58.39,58.41,57.77,57.84,1475400,0.0,0
2019-12-26,57.83,58.51,57.79,58.39,2736100,0.0,0
2019-12-27,58.41,58.52,57.87,58.51,3647600,0.0,0
2019-12-30,58.58,59.08,58.3,58.4,3264500,0.0,0
