Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,75.78,76.8,75.56,76.66,1168300,0.0,0
2019-03-22,76.86,77.81,76.79,77.21,1663600,0.0,0
2019-03-25,77.34,77.72,76.93,77.41,1228800,0.0,0
2019-03-26,77.4,77.91,77.22,77.76,1104000,0.0,0
2019-03-27,77.71,77.82,76.89,77.28,1320700,0.0,0
2019-03-28,77.31,77.54,76.1,76.36,1489000,0.0,0
2019-03-29,76.46,77.08,75.95,76.96,1985900,0.0,0
2019-04-01,76.84,76.91,75.39,76.02,1944100,0.0,0
2019-04-02,76.24,76.27,75.63,76.15,1116500,0.0,0
2019-04-03,76.0,76.13,75.15,75.82,1681200,0.0,0
2019-04-04,75.83,75.95,74.52,75.4,1981000,0.0,0
2019-04-05,75.4,76.17,75.26,76.13,1829400,0.0,0
2019-04-08,75.47,75.78,74.94,75.08,1907300,0.0,0
2019-04-09,75.0,75.45,74.96,75.4,1632200,0.0,0
2019-04-10,75.68,76.02,74.73,74.88,1505700,0.0,0
2019-04-11,75.02,75.42,74.85,75.32,1259200,0.0,0
2019-04-12,75.09,75.78,74.48,75.74,1185800,0.0,0
2019-04-15,75.81,76.0,75.37,75.6,1336700,0.0,0
2019-04-16,75.47,75.78,74.25,74.41,1481400,0.0,0
2019-04-17,74.39,74.76,74.14,74.37,1407600,0.0,0
2019-04-18,74.52,74.98,74.25,74.25,1842800,0.0,0
2019-04-22,74.19,74.5,73.85,74.33,1215600,0.0,0
2019-04-23,74.49,74.9,74.21,74.69,2339600,0.0,0
2019-04-24,74.79,75.27,74.59,74.99,1775000,0.0,0
2019-04-25,74.72,76.08,74.59,75.72,1804200,0.0,0
2019-04-26,76.26,76.66,75.51,75.56,1425600,0.0,0
2019-04-29,75.38,75.39,74.69,74.88,1201800,0.0,0
2019-04-30,74.95,76.38,74.84,76.33,1333400,0.0,0
2019-05-01,75.99,76.34,75.54,75.57,1240300,0.0,0
2019-05-02,75.66,76.07,75.17,75.53,1416300,0.0,0
2019-05-03,75.57,76.33,75.5,76.21,879900,0.0,0
2019-05-06,76.33,76.45,75.81,76.01,1201800,0.0,0
2019-05-07,76.13,76.53,75.86,76.26,1635900,0.0,0
2019-05-08,76.13,76.17,75.26,75.33,1500400,0.0,0
2019-05-09,74.85,75.59,74.56,75.4,1235700,0.0,0
2019-05-10,75.11,77.13,75.11,77.09,1281100,0.0,0
2019-05-13,77.07,78.46,76.76,78.3,2092800,0.59,0
2019-05-14,78.22,78.48,77.77,77.97,1852900,0.0,0
2019-05-15,78.14,78.45,77.81,78.09,1054000,0.0,0
2019-05-16,77.97,78.87,77.57,78.69,1163800,0.0,0
2019-05-17,78.49,79.78,78.49,79.32,1559900,0.0,0
2019-05-20,79.55,79.95,79.32,79.69,1285300,0.0,0
2019-05-21,79.73,80.31,79.25,79.29,1273900,0.0,0
2019-05-22,79.49,80.29,79.29,80.17,1193500,0.0,0
2019-05-23,80.35,80.68,80.13,80.63,1825300,0.0,0
2019-05-24,80.72,81.39,80.46,80.81,1327700,0.0,0
2019-05-28,80.9,81.13,79.69,79.77,2229600,0.0,0
2019-05-29,80.04,80.1,78.44,78.74,1540100,0.0,0
2019-05-30,78.77,79.16,78.25,78.47,1325800,0.0,0
2019-05-31,78.56,79.22,78.3,78.98,1820800,0.0,0
2019-06-03,79.1,80.11,78.92,79.97,1418300,0.0,0
2019-06-04,79.78,79.96,77.91,79.71,1512800,0.0,0
2019-06-05,79.86,81.62,79.53,81.41,1454200,0.0,0
2019-06-06,81.59,82.03,81.23,81.95,1111400,0.0,0
2019-06-07,82.36,82.9,81.3,81.34,1526700,0.0,0
2019-06-10,81.29,81.29,80.44,81.13,1000100,0.0,0
2019-06-11,81.13,81.36,79.86,80.42,1182300,0.0,0
2019-06-12,80.76,81.74,80.76,81.74,880500,0.0,0
2019-06-13,81.96,82.25,81.34,81.98,1240500,0.0,0
2019-06-14,82.16,83.02,82.12,82.67,1470400,0.0,0
2019-06-17,82.67,83.21,82.1,82.49,1581900,0.0,0
2019-06-18,82.85,83.09,82.02,82.61,1994100,0.0,0
2019-06-19,82.31,83.56,82.31,83.29,1703800,0.0,0
2019-06-20,83.45,83.99,82.98,83.73,1351300,0.0,0
2019-06-21,83.83,83.93,83.12,83.76,2695600,0.0,0
2019-06-24,83.42,84.03,83.19,83.6,1543100,0.0,0
2019-06-25,83.6,83.76,83.08,83.29,1600800,0.0,0
2019-06-26,83.21,83.24,81.65,81.71,3159200,0.0,0
2019-06-27,81.99,82.33,81.18,81.46,2286100,0.0,0
2019-06-28,81.45,82.24,81.27,81.75,2678400,0.0,0
2019-07-01,81.64,81.82,80.58,81.51,1673500,0.0,0
2019-07-02,81.78,82.66,81.61,82.61,1518300,0.0,0
2019-07-03,82.69,83.78,82.69,83.47,874400,0.0,0
2019-07-05,82.88,83.48,81.81,83.36,990900,0.0,0
