Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,72.39,74.5,72.21,74.5,3143900,0.0,0
2019-03-22,74.6,76.17,74.6,74.64,2896500,0.0,0
2019-03-25,74.74,75.57,74.34,75.2,1941100,0.0,0
2019-03-26,75.57,75.66,75.08,75.51,1546700,0.0,0
2019-03-27,75.36,75.67,74.69,74.88,2023400,0.0,0
2019-03-28,75.14,75.39,74.66,75.37,1945900,0.0,0
2019-03-29,75.3,75.35,74.27,74.43,2673200,0.0,0
2019-04-01,74.5,74.5,73.02,73.91,2241300,0.0,0
2019-04-02,74.09,74.53,73.14,74.47,2289600,0.0,0
2019-04-03,74.28,74.62,73.63,74.1,1472000,0.0,0
2019-04-04,74.06,74.06,73.02,73.43,1259500,0.0,0
2019-04-05,73.09,73.68,72.93,73.61,1707900,0.0,0
2019-04-08,73.8,73.98,72.63,72.66,1913600,0.0,0
2019-04-09,72.74,72.87,72.46,72.69,1594600,0.0,0
2019-04-10,73.09,73.48,72.85,73.4,1527300,0.0,0
2019-04-11,73.2,73.8,72.96,73.4,1741700,0.0,0
2019-04-12,72.72,73.35,72.21,73.35,1337400,0.0,0
2019-04-15,73.38,73.48,72.93,73.33,1073200,0.0,0
2019-04-16,73.22,73.38,70.49,70.72,1977100,0.0,0
2019-04-17,70.88,70.92,68.9,69.31,1728900,0.0,0
2019-04-18,69.55,70.46,69.13,70.25,1294500,0.0,0
2019-04-22,69.96,70.18,68.27,68.83,1990800,0.0,0
2019-04-23,69.31,70.03,68.83,69.73,1437300,0.0,0
2019-04-24,70.15,70.67,69.65,70.44,1586900,0.0,0
2019-04-25,70.27,70.85,69.96,70.74,1272900,0.0,0
2019-04-26,71.34,71.78,70.77,71.5,977300,0.0,0
2019-04-29,71.29,71.5,69.92,70.01,1123800,0.0,0
2019-04-30,70.14,71.92,69.83,71.49,2680300,0.0,0
2019-05-01,71.75,72.9,71.39,71.81,1955000,0.0,0
2019-05-02,71.83,72.58,71.67,72.27,1752500,0.0,0
2019-05-03,72.46,73.44,72.22,73.33,1049100,0.0,0
2019-05-06,73.01,73.5,72.59,72.9,948700,0.0,0
2019-05-07,73.02,73.02,71.75,72.3,1260400,0.0,0
2019-05-08,72.39,73.22,72.18,72.22,1061100,0.0,0
2019-05-09,72.23,73.01,71.84,72.97,1132800,0.0,0
2019-05-10,72.9,74.46,72.79,74.36,1085000,0.0,0
2019-05-13,73.89,75.44,73.81,75.36,1920500,0.87,0
2019-05-14,75.09,75.81,74.97,75.74,1590700,0.0,0
2019-05-15,75.54,76.81,75.51,76.33,1167300,0.0,0
2019-05-16,76.26,77.43,76.15,77.1,1375400,0.0,0
2019-05-17,76.82,77.75,76.56,77.64,1356500,0.0,0
2019-05-20,77.68,77.99,76.32,76.86,1284700,0.0,0
2019-05-21,77.09,77.8,76.92,77.6,1484400,0.0,0
2019-05-22,77.56,77.91,77.17,77.82,1149200,0.0,0
2019-05-23,77.6,78.93,77.55,78.91,1787100,0.0,0
2019-05-24,78.95,79.47,78.92,79.13,1419700,0.0,0
2019-05-28,79.37,79.72,77.71,77.71,2200100,0.0,0
2019-05-29,78.04,78.26,76.95,77.32,1801900,0.0,0
2019-05-30,77.48,78.35,77.17,78.34,1464900,0.0,0
2019-05-31,78.4,79.46,78.09,78.79,1811200,0.0,0
2019-06-03,79.19,79.72,78.71,79.55,1814000,0.0,0
2019-06-04,79.22,79.22,77.04,77.66,3331600,0.0,0
2019-06-05,78.17,79.61,77.85,79.52,2252900,0.0,0
2019-06-06,79.57,80.34,79.25,80.11,1473700,0.0,0
2019-06-07,80.63,81.36,80.3,80.74,2268600,0.0,0
2019-06-10,80.81,81.0,79.42,79.91,1565100,0.0,0
2019-06-11,79.95,80.17,78.86,79.65,1791300,0.0,0
2019-06-12,79.94,80.76,79.66,79.81,1565900,0.0,0
2019-06-13,79.73,80.18,79.24,79.86,1759600,0.0,0
2019-06-14,79.74,80.76,79.74,79.82,2015800,0.0,0
2019-06-17,80.25,81.34,80.03,81.11,2322600,0.0,0
2019-06-18,81.57,81.83,80.22,80.55,2061200,0.0,0
2019-06-19,80.1,81.74,79.72,81.29,2459700,0.0,0
2019-06-20,81.71,82.71,81.66,82.1,3496100,0.0,0
2019-06-21,82.02,82.21,80.08,81.14,10019400,0.0,0
2019-06-24,81.56,82.06,80.97,81.55,3101200,0.0,0
2019-06-25,81.71,82.27,80.49,80.81,3555600,0.0,0
2019-06-26,80.49,80.51,78.12,78.64,2843900,0.0,0
2019-06-27,78.88,79.71,78.84,79.19,1784600,0.0,0
2019-06-28,79.19,79.73,78.95,79.09,4007600,0.0,0
2019-07-01,79.67,79.67,77.63,79.29,2257800,0.0,0
2019-07-02,79.64,81.74,79.48,81.65,2090700,0.0,0
