Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.97,48.13,47.2,47.86,24132800,0.0,0
2019-03-22,47.27,47.48,46.07,46.37,27975800,0.0,0
2019-03-25,46.48,46.93,45.93,46.15,17227600,0.0,0
2019-03-26,46.57,47.07,46.47,47.04,16989600,0.0,0
2019-03-27,46.98,47.22,46.51,46.81,16912000,0.0,0
2019-03-28,46.77,47.24,46.41,47.12,15881600,0.0,0
2019-03-29,47.8,47.8,45.88,46.38,53590800,0.0,0
2019-04-01,46.49,46.94,46.24,46.85,42015500,0.0,0
2019-04-02,46.62,46.92,46.04,46.28,35393600,0.0,0
2019-04-03,46.53,46.91,46.15,46.9,30366300,0.0,0
2019-04-04,46.99,47.69,46.92,47.2,19260100,0.0,0
2019-04-05,47.28,47.43,46.65,46.82,23734900,0.0,0
2019-04-08,46.69,47.13,46.63,46.92,18875200,0.0,0
2019-04-09,46.73,46.75,46.09,46.21,22903500,0.0,0
2019-04-10,46.15,46.26,45.5,45.87,30977800,0.0,0
2019-04-11,46.05,46.32,45.48,45.82,33662700,0.0,0
2019-04-12,45.83,46.86,44.21,44.62,70271400,0.0,0
2019-04-15,44.03,45.17,43.83,44.89,34954000,0.0,0
2019-04-16,45.0,45.95,44.99,45.74,25217100,0.0,0
2019-04-17,46.04,46.04,45.04,45.64,25144000,0.0,0
2019-04-18,45.54,45.95,45.23,45.67,22416800,0.0,0
2019-04-22,45.51,45.59,45.21,45.36,15972600,0.0,0
2019-04-23,45.31,45.54,45.07,45.45,16434300,0.0,0
2019-04-24,45.17,45.78,45.14,45.57,17831800,0.0,0
2019-04-25,45.28,46.04,45.03,45.6,23042800,0.0,0
2019-04-26,45.61,46.05,45.5,46.04,13035500,0.0,0
2019-04-29,46.05,46.83,46.04,46.33,16918700,0.0,0
2019-04-30,46.41,46.61,46.18,46.47,18525100,0.0,0
2019-05-01,46.38,46.89,46.06,46.29,17542100,0.0,0
2019-05-02,46.41,46.54,45.93,46.36,16883000,0.0,0
2019-05-03,46.57,46.81,46.41,46.7,16571300,0.0,0
2019-05-06,46.06,46.77,45.96,46.49,19279900,0.0,0
2019-05-07,46.12,46.23,45.03,45.28,23919100,0.0,0
2019-05-08,45.17,45.41,44.93,45.11,19814400,0.0,0
2019-05-09,44.58,45.39,44.37,45.3,23246900,0.45,0
2019-05-10,44.98,45.91,44.69,45.7,19983400,0.0,0
2019-05-13,44.85,45.54,44.83,44.9,23304700,0.0,0
2019-05-14,44.95,45.48,44.56,45.06,21267600,0.0,0
2019-05-15,44.6,44.92,44.09,44.43,20123300,0.0,0
2019-05-16,44.57,45.09,44.35,44.48,20764100,0.0,0
2019-05-17,44.04,44.8,44.01,44.29,22273500,0.0,0
2019-05-20,44.21,44.49,43.9,44.05,18854000,0.0,0
2019-05-21,44.21,44.93,44.12,44.9,18416300,0.0,0
2019-05-22,44.65,44.88,44.54,44.68,13155000,0.0,0
2019-05-23,44.42,44.45,43.68,44.15,17643700,0.0,0
2019-05-24,44.35,44.92,44.18,44.75,13425500,0.0,0
2019-05-28,44.65,44.82,44.17,44.18,19984600,0.0,0
2019-05-29,43.99,44.27,43.74,44.08,16058800,0.0,0
2019-05-30,44.28,44.44,43.5,43.66,13775900,0.0,0
2019-05-31,43.16,43.48,42.86,43.0,17540500,0.0,0
2019-06-03,42.88,43.72,42.84,43.15,20172500,0.0,0
2019-06-04,43.77,44.35,43.62,44.27,21082000,0.0,0
2019-06-05,44.46,44.48,43.9,44.45,13705400,0.0,0
2019-06-06,44.33,44.77,44.05,44.5,16020500,0.0,0
2019-06-07,44.48,44.74,44.14,44.22,14979900,0.0,0
2019-06-10,44.64,45.37,44.64,44.84,15242700,0.0,0
2019-06-11,44.43,45.03,44.36,44.83,15078300,0.0,0
2019-06-12,44.59,44.84,43.4,43.52,22463300,0.0,0
2019-06-13,43.71,44.22,43.53,43.89,15629400,0.0,0
2019-06-14,43.91,44.38,43.46,44.18,16147500,0.0,0
2019-06-17,44.17,44.6,43.75,43.87,13420400,0.0,0
2019-06-18,43.85,44.96,43.67,44.68,18611100,0.0,0
2019-06-19,45.05,45.31,44.22,44.24,17787600,0.0,0
2019-06-20,44.44,44.57,43.84,44.45,19205200,0.0,0
2019-06-21,44.43,45.44,44.38,45.44,39186200,0.0,0
2019-06-24,45.11,45.25,44.8,44.84,21854400,0.0,0
2019-06-25,44.71,45.09,44.03,44.72,20814000,0.0,0
2019-06-26,44.78,44.85,44.37,44.39,17106800,0.0,0
2019-06-27,44.79,45.09,44.69,44.86,13391600,0.0,0
2019-06-28,45.37,46.23,45.36,45.86,31030900,0.0,0
2019-07-01,46.4,46.64,45.94,46.22,15122100,0.0,0
2019-07-02,46.05,46.33,45.47,45.77,12107200,0.0,0
2019-07-03,45.84,46.32,45.53,46.19,10438400,0.0,0
2019-07-05,46.62,46.7,46.2,46.3,10801600,0.0,0
2019-07-08,45.94,46.51,45.85,46.06,13189300,0.0,0
2019-07-09,45.84,46.41,45.75,46.35,12595000,0.0,0
2019-07-10,46.2,46.34,45.59,45.7,12784900,0.0,0
2019-07-11,45.75,46.11,45.61,45.69,19751400,0.0,0
2019-07-12,45.67,45.96,45.47,45.9,12792600,0.0,0
2019-07-15,45.94,45.99,45.01,45.27,21338400,0.0,0
2019-07-16,45.28,45.52,43.83,43.9,37548300,0.0,0
2019-07-17,43.81,44.34,43.75,43.82,24502100,0.0,0
2019-07-18,43.83,44.6,43.8,44.41,19412500,0.0,0
2019-07-19,44.54,44.98,44.45,44.61,21847900,0.0,0
2019-07-22,44.47,45.11,44.36,45.05,17972100,0.0,0
2019-07-23,45.24,46.12,45.22,45.74,21150200,0.0,0
2019-07-24,45.84,46.97,45.82,46.96,29357200,0.0,0
2019-07-25,47.02,47.24,46.53,46.61,20562000,0.0,0
2019-07-26,46.66,47.79,46.59,47.78,21641500,0.0,0
2019-07-29,47.86,48.04,46.69,46.79,19148600,0.0,0
2019-07-30,46.53,47.09,46.41,47.05,14207000,0.0,0
2019-07-31,46.77,47.47,46.63,46.92,23422800,0.0,0
2019-08-01,46.92,47.14,45.5,45.61,22668600,0.0,0
2019-08-02,45.66,46.14,44.94,45.98,20159000,0.0,0
2019-08-05,45.07,45.36,44.44,44.72,27113500,0.0,0
2019-08-06,45.17,45.58,44.41,45.48,19446100,0.0,0
2019-08-07,44.65,44.73,43.83,44.4,27830000,0.0,0
2019-08-08,44.78,45.71,44.64,45.47,20671300,0.51,0
2019-08-09,45.1,45.73,44.84,45.38,19786100,0.0,0
2019-08-12,44.6,44.99,44.43,44.52,16460500,0.0,0
2019-08-13,44.7,45.49,44.36,45.04,16649100,0.0,0
2019-08-14,44.12,44.2,43.06,43.09,28786700,0.0,0
2019-08-15,43.42,43.61,42.48,42.52,27900000,0.0,0
2019-08-16,42.87,43.65,42.76,43.51,21196600,0.0,0
2019-08-19,44.23,44.56,44.03,44.35,15378100,0.0,0
2019-08-20,44.14,44.14,43.74,43.79,13345800,0.0,0
2019-08-21,44.06,44.38,43.92,44.1,13513700,0.0,0
2019-08-22,44.43,44.92,44.16,44.71,14703900,0.0,0
2019-08-23,44.3,44.74,43.21,43.53,21152500,0.0,0
2019-08-26,43.82,44.1,43.6,44.08,15973100,0.0,0
2019-08-27,44.33,44.43,43.54,43.86,15038200,0.0,0
2019-08-28,43.75,44.87,43.6,44.56,14740000,0.0,0
2019-08-29,45.08,45.56,44.87,45.27,16196600,0.0,0
2019-08-30,45.61,45.96,45.48,45.64,15250600,0.0,0
2019-09-03,45.39,45.42,44.57,45.17,17224200,0.0,0
2019-09-04,45.61,45.77,45.36,45.57,17123100,0.0,0
2019-09-05,46.37,47.21,46.36,46.67,19243400,0.0,0
2019-09-06,46.63,46.82,46.16,46.21,18846100,0.0,0
