Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,126.26,129.84,126.26,129.43,1534700,0.0,0
2019-03-22,128.82,129.21,124.51,124.63,964000,0.0,0
2019-03-25,124.25,126.56,124.05,124.66,953600,0.0,0
2019-03-26,125.69,126.87,125.23,126.47,816100,0.0,0
2019-03-27,127.61,128.07,126.2,127.27,612000,0.0,0
2019-03-28,127.28,128.31,126.66,127.53,347700,0.0,0
2019-03-29,128.23,129.31,126.97,128.35,645200,0.0,0
2019-04-01,129.08,130.0,127.73,129.87,572200,0.0,0
2019-04-02,129.81,130.53,128.84,129.99,563700,0.0,0
2019-04-03,130.25,130.32,127.7,128.23,785400,0.0,0
2019-04-04,128.17,129.87,127.87,129.87,610100,0.0,0
2019-04-05,130.05,132.01,129.53,131.46,614700,0.0,0
2019-04-08,131.64,133.27,130.33,133.16,569000,0.0,0
2019-04-09,132.9,132.9,129.81,130.17,553200,0.0,0
2019-04-10,130.8,132.6,130.13,132.34,568200,0.0,0
2019-04-11,132.47,135.59,131.79,134.94,582100,0.0,0
2019-04-12,134.73,135.82,133.72,135.1,865300,0.0,0
2019-04-15,135.2,135.42,131.37,131.71,1141100,0.0,0
2019-04-16,130.67,132.87,130.61,132.65,749100,0.0,0
2019-04-17,132.69,134.31,131.24,132.2,562600,0.0,0
2019-04-18,131.93,135.04,131.88,134.3,675000,0.0,0
2019-04-22,134.61,136.42,134.16,134.59,1789500,0.0,0
2019-04-23,139.2,139.94,133.97,135.14,2971000,0.0,0
2019-04-24,135.81,135.81,130.87,134.45,1216300,0.0,0
2019-04-25,133.85,133.85,129.75,130.42,991600,0.0,0
2019-04-26,131.16,132.45,129.5,132.37,902800,0.0,0
2019-04-29,132.53,135.21,131.9,133.82,709600,0.0,0
2019-04-30,133.81,134.98,131.93,134.07,656300,0.0,0
2019-05-01,134.17,135.76,133.17,134.98,852100,0.0,0
2019-05-02,135.16,138.58,135.05,137.44,659100,0.0,0
2019-05-03,138.04,138.81,137.18,137.59,561600,0.0,0
2019-05-06,135.18,135.8,133.4,135.19,812300,0.0,0
2019-05-07,133.95,134.44,131.2,133.04,737700,0.0,0
2019-05-08,132.62,134.38,131.91,132.3,433200,0.0,0
2019-05-09,131.06,131.23,126.8,129.25,833000,0.0,0
2019-05-10,130.94,130.94,125.97,129.73,777700,0.0,0
2019-05-13,126.65,127.69,121.85,123.7,1091900,0.0,0
2019-05-14,124.11,125.42,122.56,124.67,761800,0.0,0
2019-05-15,124.49,127.16,123.53,126.21,796700,0.0,0
2019-05-16,126.35,128.44,125.92,126.64,705900,1.2,0
2019-05-17,125.54,126.77,123.38,125.38,531600,0.0,0
2019-05-20,124.43,126.72,123.79,126.25,544300,0.0,0
2019-05-21,126.11,129.34,126.11,129.15,667900,0.0,0
2019-05-22,127.64,129.14,127.01,127.69,683800,0.0,0
2019-05-23,125.92,125.92,121.26,122.87,933600,0.0,0
