Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,169.56,172.39,168.24,171.95,555400,0.0,0
2019-03-22,170.68,172.66,170.23,172.24,651900,0.0,0
2019-03-25,172.57,173.78,172.2,173.4,513600,0.0,0
2019-03-26,174.25,175.21,173.49,175.13,569100,0.0,0
2019-03-27,175.46,176.18,173.16,174.41,629300,0.0,0
2019-03-28,174.76,175.15,172.36,173.28,607100,0.65,0
2019-03-29,174.43,175.12,173.12,173.9,745400,0.0,0
2019-04-01,174.36,176.41,172.77,174.36,802200,0.0,0
2019-04-02,175.02,176.33,173.87,175.44,696100,0.0,0
2019-04-03,176.64,177.61,174.48,176.05,717900,0.0,0
2019-04-04,176.35,177.25,175.11,176.73,371200,0.0,0
2019-04-05,176.74,177.48,176.05,176.31,468000,0.0,0
2019-04-08,176.47,176.89,174.93,176.67,376000,0.0,0
2019-04-09,176.25,176.35,174.91,176.26,364700,0.0,0
2019-04-10,176.6,177.46,175.99,177.26,410500,0.0,0
2019-04-11,177.42,178.58,177.17,177.98,373500,0.0,0
2019-04-12,179.04,180.08,178.2,178.92,426200,0.0,0
2019-04-15,178.67,179.21,176.06,178.94,268300,0.0,0
2019-04-16,179.61,179.87,178.83,179.41,387300,0.0,0
2019-04-17,180.19,180.19,173.85,175.14,887800,0.0,0
2019-04-18,176.75,176.75,173.29,175.61,550800,0.0,0
2019-04-22,175.55,176.57,174.5,175.5,310200,0.0,0
2019-04-23,175.8,178.29,175.3,178.21,459600,0.0,0
2019-04-24,177.91,180.5,177.09,177.77,451200,0.0,0
2019-04-25,176.49,178.45,175.47,178.38,505100,0.0,0
2019-04-26,178.91,180.3,177.81,179.74,563500,0.0,0
2019-04-29,179.79,181.16,178.38,179.71,526200,0.0,0
2019-04-30,179.52,182.59,179.26,182.51,789000,0.0,0
2019-05-01,175.29,178.49,173.41,173.63,1067500,0.0,0
2019-05-02,173.41,176.81,172.75,176.72,816500,0.0,0
2019-05-03,177.56,179.05,176.52,177.98,473900,0.0,0
2019-05-06,175.72,177.72,175.52,176.85,662100,0.0,0
2019-05-07,175.42,176.16,171.76,172.67,579400,0.0,0
2019-05-08,172.7,174.78,171.13,173.76,480600,0.0,0
2019-05-09,172.27,173.69,171.1,173.26,367700,0.0,0
