Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,26.41,27.06,26.33,26.95,9138700,0.0,0
2019-03-22,26.75,26.79,26.45,26.52,7949600,0.0,0
2019-03-25,26.49,26.82,26.24,26.74,8932300,0.0,0
2019-03-26,26.99,27.19,26.49,26.65,8385200,0.0,0
2019-03-27,26.39,26.7,25.9,26.54,6329000,0.0,0
2019-03-28,26.38,26.74,26.38,26.7,5378600,0.0,0
2019-03-29,26.97,27.02,26.56,26.75,5596500,0.0,0
2019-04-01,26.9,27.29,26.7,27.27,8310500,0.0,0
2019-04-02,27.22,27.43,27.15,27.34,8204900,0.0,0
2019-04-03,27.53,27.53,26.83,26.93,6675100,0.0,0
2019-04-04,26.98,26.98,26.75,26.85,4332600,0.0,0
2019-04-05,26.83,27.25,26.81,27.12,5675900,0.0,0
2019-04-08,27.2,27.28,26.88,27.02,6099900,0.0,0
2019-04-09,26.89,26.9,26.61,26.75,6457800,0.0,0
2019-04-10,26.9,26.98,26.64,26.7,5593800,0.0,0
2019-04-11,26.65,26.81,26.51,26.79,4528800,0.0,0
2019-04-12,27.03,27.11,26.84,26.96,5062000,0.0,0
2019-04-15,26.86,26.9,26.36,26.58,5459900,0.0,0
2019-04-16,26.6,26.74,26.4,26.67,4019600,0.0,0
2019-04-17,26.81,26.9,26.43,26.45,4753000,0.0,0
2019-04-18,26.39,26.43,26.15,26.38,6097400,0.0,0
2019-04-22,26.57,26.82,26.45,26.79,4138800,0.0,0
2019-04-23,26.91,26.91,26.58,26.85,5431600,0.0,0
2019-04-24,26.87,26.89,26.64,26.72,4326300,0.0,0
2019-04-25,26.67,26.68,26.41,26.52,4900200,0.0,0
2019-04-26,26.41,26.54,26.28,26.54,5641200,0.0,0
2019-04-29,26.51,26.54,26.34,26.35,3664500,0.0,0
2019-04-30,26.49,26.52,26.12,26.39,7990900,0.0,0
2019-05-01,26.41,26.52,26.07,26.07,8314000,0.0,0
2019-05-02,26.02,26.11,25.43,25.58,10917200,0.0,0
2019-05-03,25.86,26.06,25.7,25.7,7141700,0.0,0
