Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,53.76,54.88,53.66,54.77,199900,0.0,0.0
2019-03-22,54.54,55.22,54.39,54.48,394000,0.0,0.0
2019-03-25,54.48,55.1,54.41,54.77,412300,0.0,0.0
2019-03-26,55.0,55.38,54.5,54.86,242100,0.0,0.0
2019-03-27,54.9,55.35,54.86,55.19,235700,0.0,0.0
2019-03-28,55.34,55.53,54.69,55.19,339700,0.0,0.0
2019-03-29,55.45,55.54,55.11,55.26,549700,0.0,0.0
2019-04-01,55.46,55.63,54.95,55.33,269000,0.0,0.0
2019-04-02,55.37,55.44,54.77,55.15,209400,0.0,0.0
2019-04-03,55.46,55.64,54.37,55.54,671000,0.0,1.5
2019-04-04,55.65,55.9,55.15,55.64,564100,0.0,0.0
2019-04-05,55.71,56.0,55.55,55.95,409900,0.0,0.0
2019-04-08,55.99,56.16,55.49,55.83,392800,0.0,0.0
2019-04-09,55.77,55.92,55.32,55.53,329100,0.0,0.0
2019-04-10,55.67,55.77,55.39,55.64,469800,0.0,0.0
2019-04-11,55.78,56.23,55.39,56.18,250100,0.0,0.0
2019-04-12,56.36,56.77,56.24,56.7,245200,0.0,0.0
2019-04-15,56.7,56.8,56.36,56.62,194800,0.0,0.0
2019-04-16,56.84,57.37,56.69,57.36,401100,0.0,0.0
2019-04-17,57.43,57.43,56.56,56.67,388100,0.0,0.0
2019-04-18,56.81,57.51,56.64,57.09,555700,0.0,0.0
2019-04-22,56.89,56.89,56.38,56.56,323500,0.0,0.0
2019-04-23,56.56,57.39,56.46,57.22,427300,0.0,0.0
2019-04-24,56.67,59.55,56.48,59.16,926900,0.0,0.0
2019-04-25,59.23,59.53,58.55,59.31,354300,0.0,0.0
2019-04-26,59.23,59.61,59.03,59.46,344400,0.0,0.0
2019-04-29,59.46,59.93,59.33,59.43,364000,0.0,0.0
2019-04-30,59.53,60.11,59.13,59.98,557400,0.0,0.0
2019-05-01,59.81,60.41,59.75,59.96,363400,0.0,0.0
2019-05-02,59.96,60.36,59.61,59.82,354300,0.0,0.0
2019-05-03,60.09,60.42,59.83,60.17,332800,0.0,0.0
2019-05-06,59.57,60.39,59.38,60.19,571600,0.0,0.0
2019-05-07,59.78,60.38,59.33,59.64,356000,0.0,0.0
2019-05-08,59.64,60.01,59.18,59.32,764100,0.0,0.0
2019-05-09,58.99,59.54,58.78,59.33,558300,0.0,0.0
2019-05-10,59.23,60.14,59.0,60.14,468400,0.0,0.0
2019-05-13,59.48,59.75,59.18,59.68,515300,0.0,0.0
2019-05-14,59.74,60.3,59.67,59.99,445900,0.0,0.0
2019-05-15,59.87,60.46,59.77,60.24,760500,0.0,0.0
2019-05-16,60.46,60.89,60.44,60.76,605100,0.0,0.0
2019-05-17,60.47,60.74,60.32,60.45,535500,0.0,0.0
2019-05-20,60.43,60.73,60.29,60.55,320800,0.0,0.0
2019-05-21,60.69,61.0,60.6,60.67,630100,0.0,0.0
2019-05-22,60.62,60.97,60.49,60.89,1225700,0.0,0.0
2019-05-23,60.74,60.84,60.07,60.25,708000,0.0,0.0
2019-05-24,60.4,60.82,60.16,60.72,420800,0.0,0.0
2019-05-28,60.75,61.04,60.29,60.33,839600,0.0,0.0
2019-05-29,60.29,60.81,59.9,60.75,603000,0.0,0.0
2019-05-30,60.91,61.09,60.52,60.67,346400,0.0,0.0
2019-05-31,60.38,61.01,60.25,60.86,563600,0.0,0.0
2019-06-03,60.95,61.38,60.66,61.32,788900,0.0,0.0
2019-06-04,61.51,61.73,60.91,61.63,500700,0.0,0.0
2019-06-05,61.8,62.59,61.64,62.41,730900,0.0,0.0
2019-06-06,62.51,62.83,62.27,62.62,470500,0.0,0.0
2019-06-07,62.79,63.24,62.78,62.92,600700,0.0,0.0
2019-06-10,62.97,63.13,62.66,62.96,582400,0.0,0.0
2019-06-11,63.24,63.24,62.25,62.71,441000,0.0,0.0
2019-06-12,62.79,63.34,62.79,63.31,631700,0.0,0.0
2019-06-13,63.6,63.61,62.87,63.47,464600,0.0,0.0
2019-06-14,63.48,64.29,63.31,64.2,624500,0.0,0.0
2019-06-17,64.25,64.45,63.88,64.09,304100,0.5,0.0
2019-06-18,64.25,64.86,64.06,64.75,548600,0.0,0.0
2019-06-19,64.85,65.72,64.85,65.47,677400,0.0,0.0
2019-06-20,65.68,65.94,65.34,65.87,563700,0.0,0.0
2019-06-21,65.71,66.51,65.31,65.94,1142900,0.0,0.0
2019-06-24,65.98,66.66,65.71,65.77,622000,0.0,0.0
2019-06-25,65.82,66.19,65.45,65.81,430600,0.0,0.0
2019-06-26,65.87,65.95,64.14,64.14,974600,0.0,0.0
2019-06-27,63.59,64.18,63.32,64.14,1024400,0.0,0.0
2019-06-28,64.3,65.02,64.24,65.0,1088700,0.0,0.0
2019-07-01,65.45,65.5,64.44,65.49,702000,0.0,0.0
2019-07-02,65.57,65.92,65.13,65.72,617500,0.0,0.0
2019-07-03,65.97,66.45,65.77,66.4,277500,0.0,0.0
2019-07-05,66.4,66.51,65.7,66.51,428900,0.0,0.0
2019-07-08,66.34,66.71,66.04,66.38,375500,0.0,0.0
2019-07-09,66.29,66.87,65.69,66.84,554300,0.0,0.0
2019-07-10,67.04,67.76,66.81,66.84,449300,0.0,0.0
2019-07-11,66.94,67.15,66.43,66.81,254100,0.0,0.0
2019-07-12,66.75,66.97,66.34,66.92,348600,0.0,0.0
2019-07-15,67.12,67.53,66.95,67.28,281300,0.0,0.0
2019-07-16,67.28,67.63,67.24,67.43,485600,0.0,0.0
2019-07-17,67.28,67.28,66.63,66.86,416300,0.0,0.0
2019-07-18,66.94,67.11,66.66,66.89,555100,0.0,0.0
2019-07-19,66.99,67.01,65.87,65.9,570600,0.0,0.0
2019-07-22,65.9,66.13,65.49,65.58,498000,0.0,0.0
2019-07-23,65.54,65.88,64.95,65.63,662000,0.0,0.0
2019-07-24,67.68,68.26,66.26,67.63,1320400,0.0,0.0
2019-07-25,67.77,68.37,67.4,68.24,540100,0.0,0.0
2019-07-26,68.26,69.37,68.02,69.33,804000,0.0,0.0
2019-07-29,69.43,69.73,68.66,69.07,499100,0.0,0.0
2019-07-30,68.81,69.86,68.81,69.47,441600,0.0,0.0
2019-07-31,69.5,70.23,67.57,68.41,1099500,0.0,0.0
2019-08-01,68.18,69.4,67.71,67.83,573400,0.0,0.0
2019-08-02,67.82,69.05,67.73,68.57,519900,0.0,0.0
2019-08-05,67.99,68.56,66.64,66.92,558700,0.0,0.0
2019-08-06,67.01,68.72,66.76,68.69,598100,0.0,0.0
2019-08-07,68.04,69.66,67.62,69.39,523900,0.0,0.0
2019-08-08,69.89,71.41,69.79,70.87,762500,0.0,0.0
2019-08-09,70.72,71.35,69.96,70.66,341300,0.0,0.0
2019-08-12,70.38,71.6,69.93,70.19,595000,0.0,0.0
2019-08-13,70.07,71.4,70.01,71.13,629200,0.0,0.0
2019-08-14,70.42,71.08,69.23,69.49,620400,0.0,0.0
2019-08-15,69.72,70.61,69.16,70.01,686800,0.0,0.0
2019-08-16,70.31,71.38,70.19,71.21,595200,0.0,0.0
2019-08-19,71.86,72.15,71.24,71.99,399000,0.0,0.0
2019-08-20,71.95,72.03,70.99,71.13,350800,0.0,0.0
2019-08-21,71.41,71.41,70.77,70.91,740500,0.0,0.0
2019-08-22,70.97,71.8,70.4,71.68,566500,0.0,0.0
2019-08-23,71.45,72.23,70.01,70.3,422700,0.0,0.0
2019-08-26,70.76,71.07,70.19,71.06,490000,0.0,0.0
2019-08-27,71.4,71.61,70.68,70.77,661600,0.0,0.0
2019-08-28,70.58,70.62,70.01,70.21,501800,0.0,0.0
2019-08-29,70.75,71.19,70.22,70.79,576200,0.0,0.0
2019-08-30,70.93,71.29,70.01,70.25,941500,0.0,0.0
2019-09-03,70.04,70.68,70.0,70.41,587400,0.0,0.0
