Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,17.3,17.68,17.3,17.67,4736300,0.0,0
2019-03-22,17.62,17.71,17.52,17.6,4006800,0.0,0
2019-03-25,17.54,17.62,17.39,17.56,3458300,0.0,0
2019-03-26,17.66,17.92,17.61,17.91,4799100,0.0,0
2019-03-27,17.89,18.05,17.87,17.91,4749800,0.0,0
2019-03-28,17.99,18.17,17.91,17.97,5247100,0.0,0
2019-03-29,18.01,18.08,17.77,17.82,6064500,0.0,0
2019-04-01,17.89,18.02,17.87,18.0,4297500,0.0,0
2019-04-02,18.0,18.31,17.92,18.26,6463400,0.0,0
2019-04-03,18.32,18.56,18.26,18.4,6367400,0.0,0
2019-04-04,18.39,18.43,18.28,18.35,2955300,0.0,0
2019-04-05,18.43,18.87,18.4,18.7,9897200,0.0,0
2019-04-08,18.59,18.81,18.48,18.79,8903300,0.0,0
2019-04-09,18.68,18.74,18.51,18.69,8261000,0.0,0
2019-04-10,18.69,18.76,18.56,18.68,4007900,0.0,0
2019-04-11,18.57,18.61,18.32,18.49,6822100,0.0,0
2019-04-12,18.53,18.59,18.31,18.43,5428500,0.0,0
2019-04-15,18.48,18.53,18.4,18.49,2535400,0.0,0
2019-04-16,18.5,18.56,18.41,18.56,5220500,0.0,0
2019-04-17,18.58,18.67,18.49,18.62,3623100,0.0,0
2019-04-18,18.65,18.68,18.54,18.62,4772100,0.0,0
2019-04-22,18.59,18.67,18.5,18.59,3916300,0.0,0
2019-04-23,18.62,18.81,18.61,18.72,5878800,0.0,0
2019-04-24,18.76,18.88,18.69,18.75,4655500,0.0,0
2019-04-25,18.69,18.73,18.49,18.5,2766100,0.0,0
2019-04-26,18.54,19.02,18.54,18.99,6524900,0.0,0
2019-04-29,18.99,19.04,18.65,18.72,5861600,0.0,0
2019-04-30,18.7,18.82,18.55,18.75,5766800,0.0,0
2019-05-01,18.83,18.83,18.62,18.64,4512900,0.0,0
2019-05-02,18.63,18.73,18.52,18.59,3502500,0.0,0
2019-05-03,18.58,18.75,18.43,18.62,3430300,0.0,0
2019-05-06,18.38,18.65,18.36,18.54,9078300,0.0,0
2019-05-07,18.37,18.59,18.34,18.52,9386700,0.0,0
2019-05-08,17.83,18.74,17.82,18.52,15060600,0.0,0
2019-05-09,18.43,18.74,18.43,18.52,10749400,0.0,0
2019-05-10,18.47,18.73,18.44,18.71,5449500,0.0,0
2019-05-13,18.5,18.57,18.35,18.39,5059400,0.0,0
2019-05-14,18.53,18.74,18.5,18.64,5010200,0.0,0
2019-05-15,18.53,18.86,18.53,18.75,4063600,0.0,0
2019-05-16,18.76,19.09,18.76,18.91,4938200,0.0,0
2019-05-17,18.77,18.86,18.6,18.64,5425600,0.0,0
2019-05-20,18.49,18.74,18.47,18.55,4571300,0.0,0
2019-05-21,18.69,18.83,18.65,18.72,3536200,0.0,0
2019-05-22,18.67,18.92,18.61,18.78,4417100,0.0,0
2019-05-23,18.64,18.81,18.6,18.78,5372100,0.0,0
2019-05-24,18.87,19.1,18.58,18.67,4546900,0.0,0
2019-05-28,18.69,18.9,18.58,18.66,9117900,0.0,0
2019-05-29,18.62,18.72,18.37,18.67,5834400,0.0,0
2019-05-30,18.65,18.79,18.59,18.63,2891100,0.0,0
2019-05-31,18.5,18.74,18.48,18.71,5098900,0.0,0
