Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,113.87,117.78,113.25,117.01,1465400,0.0,0
2019-03-22,115.92,116.16,112.09,112.93,1706800,0.0,0
2019-03-25,112.38,114.22,111.03,112.48,1262600,0.0,0
2019-03-26,112.66,114.46,112.17,113.36,944000,0.0,0
2019-03-27,113.43,114.08,111.18,112.59,1425700,0.0,0
2019-03-28,112.42,115.15,112.39,113.61,1130300,0.0,0
2019-03-29,114.41,116.84,114.08,115.26,2359700,0.0,0
2019-04-01,119.78,125.09,119.68,124.93,4497300,0.0,0
2019-04-02,125.32,131.79,123.2,130.43,5559100,0.0,0
2019-04-03,131.37,135.86,130.41,132.94,4217000,0.0,0
2019-04-04,133.44,136.17,132.15,134.91,2684500,0.0,0
2019-04-05,135.23,136.48,133.88,136.14,1856900,0.0,0
2019-04-08,140.36,140.97,137.77,139.92,3477600,0.0,0
2019-04-09,137.89,138.12,133.4,134.52,3139400,0.0,0
2019-04-10,135.06,136.31,134.23,136.2,1371400,0.0,0
2019-04-11,136.16,136.65,134.54,136.22,1767900,0.0,0
2019-04-12,137.16,139.0,136.29,138.88,2177600,0.0,0
2019-04-15,138.46,139.05,134.79,136.99,2006400,0.0,0
2019-04-16,137.36,140.04,136.98,139.79,1579900,0.0,0
2019-04-17,140.06,140.92,138.28,138.48,1690900,0.0,0
2019-04-18,139.05,139.75,136.57,137.59,1832200,0.0,0
2019-04-22,137.03,137.2,133.56,135.23,1579800,0.0,0
2019-04-23,135.45,138.19,134.31,138.03,1847100,0.0,0
2019-04-24,138.01,139.91,137.1,139.48,1361600,0.0,0
2019-04-25,141.59,142.86,139.43,141.99,1949000,0.0,0
2019-04-26,142.96,145.54,142.48,144.21,1634800,0.0,0
2019-04-29,146.2,146.34,143.2,143.7,1332100,0.0,0
2019-04-30,141.63,142.31,138.36,139.53,2531300,0.0,0
2019-05-01,143.72,145.09,140.89,141.16,2487900,0.0,0
2019-05-02,140.78,142.48,138.52,140.6,1239700,0.0,0
2019-05-03,141.21,142.96,140.6,142.34,1100900,0.0,0
2019-05-06,137.23,137.55,133.66,136.54,2601200,0.0,0
2019-05-07,134.97,136.2,129.09,131.08,2850500,0.0,0
2019-05-08,131.04,134.67,130.5,131.33,2348900,0.0,0
2019-05-09,130.43,132.09,126.51,131.69,2550100,0.0,0
2019-05-10,124.93,128.7,121.95,125.47,5296900,0.0,0
2019-05-13,121.65,122.16,116.66,117.72,4116800,0.0,0
2019-05-14,118.9,120.5,117.81,119.12,1951500,0.0,0
2019-05-15,117.84,121.24,116.91,120.98,2127500,0.0,0
2019-05-16,120.89,123.27,120.55,122.97,1893800,0.0,0
2019-05-17,121.0,121.65,117.09,117.28,2624500,0.0,0
2019-05-20,115.32,116.27,112.83,116.09,2747900,0.0,0
2019-05-21,117.05,118.17,116.78,117.73,1278800,1.0,0
2019-05-22,116.82,117.58,115.76,116.81,1507200,0.0,0
2019-05-23,114.77,114.77,109.78,110.9,3530700,0.0,0
2019-05-24,111.94,112.63,109.75,111.24,1842200,0.0,0
2019-05-28,111.7,113.37,111.03,111.15,1474200,0.0,0
2019-05-29,109.97,112.08,109.53,111.42,985300,0.0,0
2019-05-30,111.62,112.92,107.9,108.54,2040600,0.0,0
2019-05-31,106.63,106.9,103.7,104.54,2892700,0.0,0
2019-06-03,103.85,103.85,100.15,100.88,2661700,0.0,0
2019-06-04,102.49,109.99,102.15,109.94,3236300,0.0,0
2019-06-05,110.65,111.28,105.24,107.59,2106800,0.0,0
2019-06-06,107.37,108.24,105.26,107.12,1589100,0.0,0
2019-06-07,107.51,110.31,107.42,108.14,1545700,0.0,0
2019-06-10,110.14,115.34,109.92,113.64,2718500,0.0,0
2019-06-11,115.12,116.39,113.98,115.08,1954800,0.0,0
2019-06-12,113.82,113.82,111.05,111.76,1091800,0.0,0
2019-06-13,112.36,114.64,112.02,114.17,1619300,0.0,0
2019-06-14,113.75,113.82,111.66,112.61,1525300,0.0,0
2019-06-17,113.18,113.85,110.72,112.68,1037900,0.0,0
2019-06-18,114.59,119.56,114.11,118.83,2536200,0.0,0
2019-06-19,118.82,119.74,117.37,119.14,1582300,0.0,0
2019-06-20,122.49,124.66,118.61,119.27,1379100,0.0,0
2019-06-21,118.4,120.14,117.45,118.35,1431800,0.0,0
2019-06-24,119.63,120.33,118.16,118.85,1255100,0.0,0
2019-06-25,118.54,118.59,115.72,115.87,1922700,0.0,0
2019-06-26,117.43,119.07,116.98,118.11,1638400,0.0,0
2019-06-27,119.19,120.93,118.44,120.73,1339800,0.0,0
2019-06-28,120.39,121.17,119.21,120.77,1848300,0.0,0
