Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,124.66,128.64,124.32,128.12,3839100,0.0,0
2019-03-22,127.89,128.03,124.34,125.01,3047900,0.0,0
2019-03-25,124.3,124.38,120.64,122.29,3914600,0.0,0
2019-03-26,123.79,125.24,123.52,124.75,2544300,0.0,0
2019-03-27,125.12,125.46,121.96,123.29,2101400,0.0,0
2019-03-28,124.04,126.17,123.64,124.69,2513600,0.0,0
2019-03-29,126.74,127.31,124.04,124.91,4083000,0.0,0
2019-04-01,126.97,128.04,126.4,127.81,3872700,0.0,0
2019-04-02,128.07,128.34,126.52,127.18,2668600,0.0,0
2019-04-03,128.18,128.71,125.63,126.66,3458700,0.0,0
2019-04-04,126.8,127.91,124.94,125.93,2798500,0.0,0
2019-04-05,126.9,127.49,126.05,127.17,2003900,0.0,0
2019-04-08,127.16,128.08,125.46,127.98,2128400,0.0,0
2019-04-09,127.38,128.22,125.77,127.02,2641300,0.0,0
2019-04-10,127.49,131.1,127.13,129.64,4153700,0.0,0
2019-04-11,129.46,130.55,128.69,130.11,1663400,0.0,0
2019-04-12,131.13,132.49,130.54,132.42,3030500,0.0,0
2019-04-15,132.42,133.37,131.47,132.07,2771500,0.0,0
2019-04-16,132.73,133.74,131.41,132.98,3051400,0.0,0
2019-04-17,133.98,135.2,132.66,133.81,2539500,0.0,0
2019-04-18,133.98,134.37,130.96,132.95,4030900,0.0,0
2019-04-22,133.0,133.68,131.4,132.45,1984400,0.0,0
2019-04-23,133.0,135.42,132.75,135.12,3455200,0.0,0
2019-04-24,135.41,139.5,134.78,137.65,8556400,0.0,0
2019-04-25,124.48,124.72,113.54,114.14,24053900,0.0,0
2019-04-26,113.81,117.53,108.68,117.17,14285600,0.0,0
2019-04-29,116.79,117.17,114.12,115.35,5266300,0.0,0
2019-04-30,115.39,118.64,115.27,118.36,4739400,0.0,0
2019-05-01,119.21,119.95,114.71,114.91,4833500,0.0,0
2019-05-02,114.91,117.82,114.63,117.14,3503200,0.0,0
2019-05-03,117.98,118.1,116.14,117.26,3255700,0.0,0
2019-05-06,113.3,117.11,112.01,117.05,3316800,0.0,0
2019-05-07,116.15,117.63,114.74,116.06,5390000,0.0,0
2019-05-08,116.06,117.54,114.98,115.95,3223200,0.0,0
2019-05-09,114.26,116.01,112.9,114.97,3565400,0.0,0
2019-05-10,114.71,117.35,113.42,115.19,3770400,0.0,0
2019-05-13,112.2,112.75,108.15,109.0,5779000,0.0,0
2019-05-14,110.38,112.26,109.91,111.5,3411700,0.0,0
2019-05-15,110.23,114.31,110.02,113.12,3902000,0.37,0
