Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,96.71,97.65,96.58,97.56,1014100,0.0,0
2019-03-22,97.53,98.06,97.12,97.34,1033400,0.0,0
2019-03-25,97.59,97.88,97.15,97.34,1289700,0.0,0
2019-03-26,97.49,97.52,96.6,97.13,1361100,0.0,0
2019-03-27,96.94,97.78,96.94,97.35,1524600,0.0,0
2019-03-28,97.39,97.73,96.94,97.51,1587500,0.0,0
2019-03-29,98.06,98.46,97.55,98.17,2356600,0.0,0
2019-04-01,98.78,99.11,98.18,98.93,1195200,0.0,0
2019-04-02,99.05,99.05,97.86,98.53,959600,0.0,0
2019-04-03,98.84,99.04,98.22,98.89,1060200,0.0,0
2019-04-04,98.93,99.12,98.3,98.8,860700,0.0,0
2019-04-05,98.67,98.93,98.21,98.32,1600100,0.0,0
2019-04-08,98.12,98.26,97.37,97.95,1340000,0.0,0
2019-04-09,97.51,97.89,97.36,97.85,993000,0.0,0
2019-04-10,98.25,98.81,97.89,98.4,1187700,0.0,0
2019-04-11,98.17,99.15,98.09,99.12,1169800,0.0,0
2019-04-12,99.34,99.93,99.24,99.73,1193100,0.0,0
2019-04-15,99.72,100.48,99.56,99.97,1234000,0.0,0
2019-04-16,100.32,100.4,99.47,99.96,863500,0.0,0
2019-04-17,100.21,100.44,99.67,99.83,920400,0.0,0
2019-04-18,100.03,101.73,99.94,101.62,1261600,0.0,0
2019-04-22,101.31,101.66,101.04,101.49,833200,0.0,0
2019-04-23,101.42,102.48,101.04,101.23,1474000,0.0,0
2019-04-24,101.56,102.33,101.41,101.64,1304600,0.0,0
2019-04-25,101.4,101.99,100.83,101.75,1059200,0.0,0
2019-04-26,102.17,102.72,101.77,102.38,1368300,0.0,0
2019-04-29,102.44,102.44,101.51,102.1,1473400,0.0,0
2019-04-30,102.18,102.75,101.75,102.68,2181300,0.0,0
2019-05-01,99.83,101.06,99.03,100.27,2178500,0.0,0
2019-05-02,99.9,100.92,99.57,100.07,1827400,0.0,0
2019-05-03,100.4,101.78,100.36,101.03,1719300,0.0,0
2019-05-06,99.89,100.92,99.88,100.73,1031800,0.0,0
2019-05-07,100.0,100.6,98.88,99.8,1668900,0.0,0
2019-05-08,99.51,99.69,98.83,98.84,2097400,0.0,0
