Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,125.92,128.61,125.91,128.61,1401600,0.0,0
2019-03-22,127.74,128.06,125.72,125.75,1195100,0.0,0
2019-03-25,125.44,126.01,123.5,125.66,966600,0.0,0
2019-03-26,126.65,127.26,125.56,125.99,808700,0.0,0
2019-03-27,125.73,126.2,124.08,125.96,1145800,0.0,0
2019-03-28,126.17,126.37,124.92,126.27,1736000,0.24,0
2019-03-29,126.87,127.24,125.83,127.01,1156300,0.0,0
2019-04-01,127.75,127.81,126.56,127.07,799300,0.0,0
2019-04-02,127.16,127.16,126.11,126.81,891600,0.0,0
2019-04-03,127.41,128.03,125.59,125.79,1897400,0.0,0
2019-04-04,125.88,126.59,125.19,125.87,817000,0.0,0
2019-04-05,126.0,126.85,125.69,126.52,794300,0.0,0
2019-04-08,128.22,128.23,126.32,128.06,1260500,0.0,0
2019-04-09,127.62,129.01,127.4,127.96,1183800,0.0,0
2019-04-10,127.93,128.97,127.91,128.14,896800,0.0,0
2019-04-11,128.29,128.31,127.0,127.84,878900,0.0,0
2019-04-12,128.18,128.48,127.06,127.23,999800,0.0,0
2019-04-15,127.73,128.25,126.95,127.21,857300,0.0,0
2019-04-16,128.21,128.84,124.59,124.84,920400,0.0,0
2019-04-17,125.16,125.16,118.36,119.04,2338100,0.0,0
2019-04-18,119.01,120.3,117.38,119.35,1423100,0.0,0
2019-04-22,118.66,121.71,118.51,120.54,1534800,0.0,0
2019-04-23,120.66,123.01,120.1,122.09,1287600,0.0,0
2019-04-24,123.42,124.9,122.33,123.77,1230100,0.0,0
2019-04-25,123.4,124.77,122.39,124.04,1442700,0.0,0
2019-04-26,124.32,126.01,118.85,123.19,3728600,0.0,0
2019-04-29,122.03,122.98,119.38,120.17,2117200,0.0,0
2019-04-30,120.18,122.6,119.86,122.49,1512400,0.0,0
2019-05-01,122.42,122.64,120.32,120.56,1185900,0.0,0
2019-05-02,120.25,122.93,119.62,122.54,1433600,0.0,0
2019-05-03,123.33,124.5,122.75,123.64,851600,0.0,0
2019-05-06,121.51,124.96,121.15,124.87,947900,0.0,0
2019-05-07,123.88,124.53,121.81,122.72,1033400,0.0,0
2019-05-08,122.77,122.82,121.54,121.89,705200,0.0,0
2019-05-09,120.73,121.59,119.4,121.25,810400,0.0,0
2019-05-10,120.72,121.7,118.15,121.31,983300,0.0,0
2019-05-13,119.18,119.75,116.88,118.02,1081800,0.0,0
2019-05-14,118.38,119.4,117.95,118.11,751300,0.0,0
2019-05-15,117.61,118.56,116.51,117.91,765700,0.0,0
2019-05-16,118.33,119.02,117.03,117.44,1066700,0.0,0
2019-05-17,116.28,117.29,114.97,115.79,1337300,0.0,0
2019-05-20,115.23,116.11,114.54,115.29,1250400,0.0,0
2019-05-21,116.13,116.38,115.42,115.48,1228400,0.0,0
2019-05-22,115.44,115.46,113.98,114.52,1104900,0.0,0
2019-05-23,114.37,114.58,111.82,113.34,1215100,0.0,0
2019-05-24,113.46,114.44,113.38,113.9,586400,0.0,0
2019-05-28,114.02,114.38,111.39,111.53,842000,0.0,0
2019-05-29,111.65,112.69,110.57,111.61,1250600,0.0,0
2019-05-30,111.82,112.92,111.44,112.28,628900,0.0,0
2019-05-31,111.15,113.6,110.83,113.31,1381000,0.0,0
2019-06-03,113.5,114.8,112.81,113.68,985500,0.0,0
2019-06-04,114.62,116.95,113.76,116.77,1091200,0.0,0
2019-06-05,117.74,118.92,116.57,117.9,1242800,0.0,0
2019-06-06,118.15,120.16,117.55,119.66,1201900,0.0,0
2019-06-07,120.25,120.45,118.81,120.07,758900,0.0,0
2019-06-10,120.68,121.6,119.91,121.05,711500,0.0,0
2019-06-11,122.26,123.0,118.68,119.83,754800,0.0,0
2019-06-12,119.67,120.64,119.35,120.03,784100,0.0,0
2019-06-13,120.04,120.19,118.45,119.14,819000,0.0,0
2019-06-14,119.16,119.45,116.24,116.81,1326500,0.0,0
2019-06-17,116.73,117.52,116.17,117.09,933100,0.0,0
2019-06-18,118.05,118.45,117.24,117.48,916600,0.0,0
2019-06-19,117.4,119.37,117.07,118.72,1135400,0.0,0
2019-06-20,118.35,119.49,115.5,119.06,1479100,0.0,0
2019-06-21,119.25,119.5,117.36,117.65,2131600,0.0,0
2019-06-24,117.65,117.75,116.36,116.78,843900,0.0,0
2019-06-25,117.03,117.57,115.9,116.07,884300,0.0,0
2019-06-26,116.3,116.36,113.59,113.95,1609700,0.0,0
2019-06-27,114.74,115.55,114.59,114.99,1139900,0.24,0
2019-06-28,115.28,117.37,114.52,117.35,2577800,0.0,0
2019-07-01,118.4,118.94,115.87,116.92,1213800,0.0,0
2019-07-02,117.25,117.38,115.93,116.34,1147600,0.0,0
2019-07-03,117.24,117.77,116.51,117.26,766100,0.0,0
2019-07-05,116.5,117.81,115.84,117.42,910300,0.0,0
2019-07-08,117.49,120.37,116.84,120.3,1596500,0.0,0
2019-07-09,120.16,120.7,118.98,120.29,913100,0.0,0
2019-07-10,120.55,121.24,119.88,120.38,632600,0.0,0
2019-07-11,120.6,120.95,119.7,120.6,885000,0.0,0
2019-07-12,120.27,120.67,119.16,120.2,644100,0.0,0
2019-07-15,120.44,122.43,120.07,121.49,1188100,0.0,0
2019-07-16,121.87,122.39,120.97,121.68,1099400,0.0,0
2019-07-17,121.96,123.04,121.22,122.61,1120500,0.0,0
2019-07-18,122.27,124.2,121.94,123.67,767400,0.0,0
2019-07-19,123.96,124.35,123.01,123.04,1199000,0.0,0
2019-07-22,123.27,123.42,122.17,122.4,529200,0.0,0
2019-07-23,122.58,124.41,122.52,124.41,739000,0.0,0
2019-07-24,124.58,125.65,123.06,125.41,1012900,0.0,0
2019-07-25,124.91,125.45,122.64,123.5,1692300,0.0,0
2019-07-26,130.06,135.76,130.06,134.05,5793700,0.0,0
2019-07-29,135.59,135.69,132.71,134.08,1921700,0.0,0
2019-07-30,133.55,136.26,133.04,136.21,1697200,0.0,0
2019-07-31,135.69,136.14,133.09,134.68,1448200,0.0,0
2019-08-01,134.75,138.36,134.47,137.04,2176100,0.0,0
