Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,214.25,219.39,214.25,218.3,259200,0,0
2019-03-22,218.02,218.75,207.0,207.24,534500,0,0
2019-03-25,207.12,208.61,203.3,204.97,551300,0,0
2019-03-26,207.0,209.49,206.38,208.95,476500,0,0
2019-03-27,208.96,209.81,203.53,206.76,403400,0,0
2019-03-28,207.26,209.45,205.0,208.46,289900,0,0
2019-03-29,211.09,211.99,208.03,209.53,339100,0,0
2019-04-01,211.24,213.47,209.5,211.91,245500,0,0
2019-04-02,212.23,214.7,209.83,213.62,339300,0,0
2019-04-03,215.33,218.59,214.44,215.04,309000,0,0
2019-04-04,215.77,217.43,212.76,214.01,327300,0,0
2019-04-05,214.7,219.66,214.68,218.33,410100,0,0
2019-04-08,217.02,221.83,213.98,221.44,449000,0,0
2019-04-09,221.44,223.63,219.5,220.12,344100,0,0
2019-04-10,221.04,226.43,221.04,225.61,525400,0,0
2019-04-11,225.8,226.99,224.37,226.7,341400,0,0
2019-04-12,228.14,234.0,228.14,233.74,585500,0,0
2019-04-15,233.22,234.53,230.9,231.28,603300,0,0
2019-04-16,232.55,234.95,231.34,234.21,325800,0,0
2019-04-17,235.4,235.98,230.01,232.22,354300,0,0
2019-04-18,231.8,233.79,228.71,232.68,312600,0,0
2019-04-22,231.51,232.91,229.7,230.51,351000,0,0
2019-04-23,231.37,233.54,229.06,233.44,571200,0,0
2019-04-24,233.3,237.15,231.01,235.44,480700,0,0
2019-04-25,235.35,235.4,229.43,231.41,433200,0,0
2019-04-26,231.0,231.59,227.84,229.18,422600,0,0
2019-04-29,228.8,230.09,225.84,226.91,751100,0,0
2019-04-30,225.91,226.34,210.03,211.14,1301600,0,0
2019-05-01,212.26,214.4,204.22,205.12,1096900,0,0
2019-05-02,206.14,207.97,202.51,205.94,654100,0,0
2019-05-03,206.54,208.48,204.55,206.46,506400,0,0
2019-05-06,201.19,206.5,199.34,206.36,771800,0,0
2019-05-07,203.51,206.28,196.93,200.82,648400,0,0
2019-05-08,200.44,203.28,198.7,200.05,391600,0,0
2019-05-09,197.88,199.96,191.64,195.54,721600,0,0
2019-05-10,194.55,197.25,192.62,195.89,668800,0,0
2019-05-13,190.0,190.83,180.98,181.01,1199800,0,0
2019-05-14,182.37,189.02,181.25,186.72,992400,0,0
2019-05-15,185.48,187.31,184.29,185.18,479500,0,0
2019-05-16,186.03,191.84,185.5,190.02,956600,0,0
2019-05-17,188.0,188.0,178.88,179.12,835700,0,0
2019-05-20,177.64,177.71,171.69,173.27,970800,0,0
2019-05-21,175.38,178.47,174.67,178.09,820800,0,0
2019-05-22,173.65,178.81,173.65,174.53,632000,0,0
2019-05-23,171.34,173.18,169.29,171.67,734300,0,0
2019-05-24,172.76,175.73,172.52,175.68,925800,0,0
2019-05-28,177.11,178.73,174.1,175.9,3765100,0,0
2019-05-29,175.55,176.55,168.03,168.62,816100,0,0
2019-05-30,169.03,170.58,167.01,169.82,565400,0,0
2019-05-31,167.31,172.0,167.27,171.44,853100,0,0
2019-06-03,171.14,173.23,166.15,167.69,721200,0,0
2019-06-04,170.65,177.41,169.71,177.08,716700,0,0
2019-06-05,179.37,182.36,178.68,181.59,1107600,0,0
2019-06-06,181.2,182.7,179.81,181.76,615400,0,0
2019-06-07,183.16,188.59,181.92,188.37,538300,0,0
2019-06-10,189.12,195.35,189.12,194.51,668500,0,0
2019-06-11,197.17,197.27,190.76,192.07,618800,0,0
2019-06-12,192.0,194.18,190.26,193.63,507700,0,0
2019-06-13,194.58,194.58,191.33,194.0,482200,0,0
2019-06-14,192.87,193.39,190.15,190.81,480700,0,0
2019-06-17,190.68,193.35,190.15,192.99,335300,0,0
2019-06-18,195.79,202.22,195.22,201.81,645600,0,0
2019-06-19,201.88,204.4,199.53,200.53,455400,0,0
2019-06-20,203.79,203.99,198.71,201.12,480800,0,0
2019-06-21,199.27,200.81,197.76,200.11,396500,0,0
2019-06-24,200.36,202.75,198.6,200.04,258300,0,0
2019-06-25,200.39,200.94,196.06,197.53,546100,0,0
2019-06-26,199.42,204.39,197.69,203.4,570800,0,0
2019-06-27,205.0,210.9,203.7,207.63,672900,0,0
2019-06-28,207.67,210.68,206.02,209.49,778400,0,0
2019-07-01,214.09,214.99,207.6,208.98,758400,0,0
2019-07-02,208.67,213.13,206.56,211.61,414700,0,0
2019-07-03,212.2,218.11,211.65,217.53,316800,0,0
2019-07-05,215.15,218.22,213.34,217.04,403200,0,0
2019-07-08,215.6,215.6,209.87,210.44,445800,0,0
2019-07-09,208.23,212.58,208.08,211.72,385900,0,0
2019-07-10,212.55,212.73,210.55,211.96,299600,0,0
2019-07-11,210.94,210.94,186.69,195.01,2208300,0,0
2019-07-12,196.7,201.8,195.11,200.44,762200,0,0
2019-07-15,200.98,201.96,196.67,197.35,446900,0,0
2019-07-16,197.95,200.44,196.15,199.32,496000,0,0
2019-07-17,199.11,200.58,196.75,197.86,395400,0,0
2019-07-18,196.97,198.0,177.06,182.69,2201400,0,0
2019-07-19,184.19,185.58,180.25,182.15,717600,0,0
2019-07-22,182.84,185.0,181.7,182.24,417400,0,0
2019-07-23,183.77,186.39,181.31,185.05,712400,0,0
2019-07-24,184.42,188.1,183.02,187.94,478400,0,0
2019-07-25,187.6,190.17,185.98,187.87,500000,0,0
2019-07-26,189.27,192.62,189.27,189.65,488900,0,0
2019-07-29,190.25,191.9,187.29,189.42,700300,0,0
2019-07-30,206.45,220.46,205.0,218.2,1433900,0,0
2019-07-31,215.56,219.36,210.85,210.89,676000,0,0
2019-08-01,211.71,216.22,200.7,204.26,708100,0,0
2019-08-02,201.93,203.99,195.23,198.93,365000,0,0
2019-08-05,192.11,200.55,190.37,199.67,623200,0,0
2019-08-06,201.15,205.74,199.95,205.23,467600,0,0
2019-08-07,202.25,205.55,199.65,203.95,448200,0,0
2019-08-08,206.51,212.36,206.06,211.94,723800,0,0
2019-08-09,209.8,210.07,203.66,205.61,324200,0,0
2019-08-12,203.13,205.17,201.2,201.87,292700,0,0
2019-08-13,201.11,209.29,200.69,208.26,432500,0,0
2019-08-14,203.38,204.88,197.03,200.12,382400,0,0
2019-08-15,200.6,201.74,196.1,197.72,242200,0,0
2019-08-16,200.07,204.25,199.81,203.5,344500,0,0
2019-08-19,207.67,209.0,205.1,205.18,301700,0,0
2019-08-20,204.71,204.71,201.18,201.44,422800,0,0
2019-08-21,204.66,206.61,202.56,205.79,479400,0,0
2019-08-22,205.99,207.51,200.73,204.38,264200,0,0
2019-08-23,201.22,204.29,197.59,198.49,327300,0,0
2019-08-26,202.03,203.0,195.9,198.41,303400,0,0
2019-08-27,202.3,202.3,196.51,198.59,463900,0,0
2019-08-28,198.09,203.24,196.5,202.86,356800,0,0
2019-08-29,206.46,209.19,204.0,208.49,342400,0,0
2019-08-30,209.02,210.0,203.39,205.03,342600,0,0
2019-09-03,201.61,202.51,196.5,198.98,412600,0,0
2019-09-04,202.27,204.09,200.2,200.6,274600,0,0
2019-09-05,202.94,207.15,202.25,205.85,367000,0,0
2019-09-06,205.17,207.51,201.85,202.73,294400,0,0
2019-09-09,203.45,205.32,195.51,196.81,446700,0,0
2019-09-10,195.96,196.87,191.14,192.64,500200,0,0
2019-09-11,194.05,199.07,193.54,197.42,307600,0,0
2019-09-12,198.5,201.74,194.94,197.28,317300,0,0
2019-09-13,197.46,205.95,197.46,205.16,609600,0,0
2019-09-16,204.28,204.63,198.51,202.78,418900,0,0
2019-09-17,202.73,211.1,201.05,211.0,488400,0,0
2019-09-18,210.39,212.21,205.25,209.2,304500,0,0
2019-09-19,210.5,213.0,207.79,207.95,305500,0,0
2019-09-20,207.84,209.33,202.79,203.68,534600,0,0
2019-09-23,202.76,207.8,202.01,205.4,266200,0,0
2019-09-24,205.86,208.85,202.22,203.98,337900,0,0
2019-09-25,203.59,208.6,203.02,207.95,330100,0,0
2019-09-26,208.06,209.29,205.27,208.27,203500,0,0
2019-09-27,208.94,210.0,201.63,202.18,234400,0,0
2019-09-30,202.63,207.35,202.47,206.37,240700,0,0
2019-10-01,207.61,209.92,199.25,199.54,301000,0,0
2019-10-02,198.94,200.89,194.75,199.51,299300,0,0
2019-10-03,198.53,201.52,195.38,200.85,174300,0,0
2019-10-04,201.54,204.68,200.06,204.49,156500,0,0
2019-10-07,202.53,205.05,201.56,202.73,170400,0,0
2019-10-08,200.77,202.3,196.61,198.09,299000,0,0
2019-10-09,196.45,196.65,188.8,191.63,566800,0,0
2019-10-10,192.61,193.81,190.43,190.86,470200,0,0
2019-10-11,193.54,198.44,192.99,194.6,452800,0,0
2019-10-14,194.2,194.52,192.67,193.58,292100,0,0
2019-10-15,194.72,203.27,194.0,202.15,539200,0,0
2019-10-16,201.0,202.53,197.0,198.33,345800,0,0
2019-10-17,199.81,205.87,198.54,205.73,445900,0,0
2019-10-18,204.74,205.7,201.94,203.06,300000,0,0
2019-10-21,204.92,208.12,203.19,205.78,243400,0,0
2019-10-22,206.21,207.4,202.75,203.29,262700,0,0
2019-10-23,202.78,207.27,201.24,206.89,335500,0,0
2019-10-24,207.73,211.83,205.06,211.08,426400,0,0
2019-10-25,211.76,219.4,211.08,219.08,553900,0,0
2019-10-28,220.0,224.9,220.0,222.83,868400,0,0
2019-10-29,223.21,241.76,222.42,237.64,1181400,0,0
2019-10-30,237.64,240.57,236.0,238.87,717000,0,0
2019-10-31,239.92,240.5,236.42,237.87,479700,0,0
2019-11-01,238.0,241.5,237.06,238.0,453500,0,0
2019-11-04,240.48,248.83,239.19,248.35,832200,0,0
2019-11-05,245.86,248.65,238.66,241.32,604300,0,0
2019-11-06,241.86,244.59,238.18,242.73,410000,0,0
2019-11-07,244.1,245.99,239.36,240.46,377400,0,0
2019-11-08,240.28,242.99,237.21,241.86,223700,0,0
2019-11-11,240.14,242.89,239.42,242.73,424700,0,0
2019-11-12,242.76,245.66,241.6,244.38,303900,0,0
2019-11-13,243.99,245.18,242.06,242.54,231400,0,0
2019-11-14,241.75,241.75,236.06,237.45,580200,0,0
2019-11-15,239.61,240.19,236.71,237.73,546900,0,0
2019-11-18,237.2,239.22,234.05,234.51,414300,0,0
2019-11-19,237.4,237.7,233.34,235.91,388800,0,0
2019-11-20,236.07,245.39,236.0,242.46,838500,0,0
2019-11-21,242.09,244.08,238.23,242.62,521700,0,0
2019-11-22,243.07,244.18,240.22,243.57,474900,0,0
2019-11-25,245.07,250.78,243.61,248.94,416900,0,0
2019-11-26,248.78,249.49,246.16,247.7,472600,0,0
2019-11-27,249.25,255.39,248.83,255.21,394200,0,0
2019-11-29,255.38,255.95,250.8,250.94,212500,0,0
2019-12-02,251.85,253.16,247.0,250.42,305600,0,0
2019-12-03,245.87,250.84,244.0,250.11,288500,0,0
2019-12-04,251.0,254.98,250.8,253.21,368500,0,0
2019-12-05,254.35,254.52,250.85,251.62,355900,0,0
2019-12-06,254.69,257.6,253.99,256.92,461400,0,0
2019-12-09,255.48,257.53,253.78,253.79,371700,0,0
2019-12-10,253.49,257.28,253.12,256.81,296700,0,0
2019-12-11,257.3,257.83,255.73,256.82,374500,0,0
2019-12-12,256.05,259.39,255.05,258.28,373100,0,0
2019-12-13,257.85,259.71,256.29,257.8,322600,0,0
2019-12-16,254.5,260.3,253.87,255.45,1049700,0,0
2019-12-17,256.5,256.5,251.51,253.44,601800,0,0
2019-12-18,253.43,257.1,249.26,255.43,733900,0,0
2019-12-19,254.21,256.6,250.01,253.13,794800,0,0
2019-12-20,253.4,257.41,248.9,252.49,11578700,0,0
2019-12-23,254.08,260.16,252.96,256.73,812400,0,0
2019-12-24,257.05,257.18,253.92,254.33,164400,0,0
2019-12-26,255.8,257.0,253.0,254.42,255200,0,0
2019-12-27,256.31,257.94,253.38,256.0,214100,0,0
2019-12-30,256.0,256.71,253.73,254.11,339100,0,0
2019-12-31,253.9,256.47,253.9,255.44,363500,0,0
2020-01-02,259.03,260.4,255.17,259.14,387800,0,0
2020-01-03,256.1,258.65,254.88,256.05,305300,0,0
2020-01-06,252.62,258.01,252.62,258.01,322600,0,0
2020-01-07,257.5,258.74,256.08,256.47,236300,0,0
2020-01-08,251.28,253.48,247.25,247.64,689600,0,0
2020-01-09,249.16,250.06,246.19,246.5,766200,0,0
2020-01-10,248.08,248.08,243.29,246.27,623600,0,0
2020-01-13,247.24,248.92,244.43,248.58,479100,0,0
2020-01-14,248.78,249.1,245.92,248.07,416600,0,0
2020-01-15,247.39,249.66,245.52,247.8,331200,0,0
2020-01-16,249.05,254.0,247.04,253.93,434000,0,0
2020-01-17,252.75,254.27,250.86,252.74,399100,0,0
2020-01-21,254.1,257.71,251.71,252.42,561400,0,0
2020-01-22,254.34,257.47,253.6,253.75,414400,0,0
2020-01-23,253.9,256.13,251.53,254.36,358800,0,0
2020-01-24,256.27,256.99,251.57,252.7,223700,0,0
2020-01-27,247.31,250.0,242.57,243.23,425700,0,0
2020-01-28,245.08,249.46,245.08,247.98,340800,0,0
2020-01-29,247.55,251.69,247.55,250.17,319500,0,0
2020-01-30,247.7,249.7,243.34,246.32,246900,0,0
2020-01-31,245.5,246.28,238.86,239.02,335900,0,0
2020-02-03,240.85,246.08,240.85,242.55,262400,0,0
2020-02-04,247.33,251.2,247.33,247.87,251100,0,0
2020-02-05,251.18,251.18,246.47,247.81,244200,0,0
2020-02-06,248.82,252.85,248.3,252.09,407500,0,0
2020-02-07,249.97,249.97,245.45,247.26,385700,0,0
2020-02-10,245.11,248.99,245.11,248.55,216200,0,0
2020-02-11,249.86,254.69,247.28,247.81,219400,0,0
2020-02-12,249.29,252.27,246.41,251.99,377900,0,0
2020-02-13,232.0,237.75,226.18,233.32,1783600,0,0
2020-02-14,238.59,241.85,235.1,238.77,921800,0,0
2020-02-18,239.14,239.66,232.7,236.66,521600,0,0
2020-02-19,238.43,242.54,236.86,240.5,423400,0,0
2020-02-20,240.61,243.34,237.39,242.72,443100,0,0
2020-02-21,241.4,242.08,235.12,238.39,500900,0,0
2020-02-24,229.99,232.68,227.4,227.4,572700,0,0
2020-02-25,230.45,231.65,219.57,220.0,544800,0,0
2020-02-26,222.16,225.06,216.9,217.81,549500,0,0
2020-02-27,212.11,217.95,206.49,213.93,1021300,0,0
2020-02-28,206.71,211.82,204.73,210.97,946200,0,0
2020-03-02,212.67,221.87,210.34,221.71,603000,0,0
2020-03-03,220.27,227.11,208.34,209.31,949700,0,0
2020-03-04,211.93,216.09,205.52,216.04,559000,0,0
2020-03-05,209.5,212.73,200.81,203.76,564900,0,0
2020-03-06,197.88,204.19,195.93,202.74,647300,0,0
2020-03-09,188.4,190.94,183.89,185.26,770300,0,0
2020-03-10,192.22,202.5,189.15,202.19,909900,0,0
2020-03-11,196.3,199.67,187.69,191.3,516900,0,0
2020-03-12,177.23,178.97,161.42,161.51,1028500,0,0
2020-03-13,174.51,184.1,163.45,184.02,659300,0,0
2020-03-16,155.0,172.18,150.06,166.08,800300,0,0
2020-03-17,170.2,182.74,167.33,180.66,564400,0,0
2020-03-18,167.74,186.94,166.34,185.47,803200,0,0
2020-03-19,181.86,186.22,169.3,185.07,1202000,0,0
