Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,45.5,45.58,44.69,44.74,3905500,0.0,0
2019-03-22,44.18,44.3,41.95,42.4,5935000,0.0,0
2019-03-25,42.45,42.91,42.11,42.51,3720000,0.0,0
2019-03-26,42.67,43.7,42.67,43.7,4080400,0.0,0
2019-03-27,43.68,43.78,43.24,43.59,2302300,0.0,0
2019-03-28,43.64,44.11,43.4,44.08,1643500,0.0,0
2019-03-29,44.5,44.56,43.87,44.12,1950500,0.0,0
2019-04-01,44.41,45.51,44.41,45.39,2747100,0.0,0
2019-04-02,45.17,45.93,45.11,45.59,2357800,0.0,0
2019-04-03,46.2,46.57,45.69,45.84,2755300,0.0,0
2019-04-04,44.93,46.42,44.93,46.32,2259600,0.0,0
2019-04-05,46.35,46.54,45.93,46.22,1972500,0.0,0
2019-04-08,46.06,46.67,45.97,46.27,1499200,0.0,0
2019-04-09,46.1,46.22,45.44,45.57,1572900,0.0,0
2019-04-10,45.64,45.86,45.1,45.8,1263100,0.0,0
2019-04-11,46.08,46.56,45.8,46.15,1481000,0.0,0
2019-04-12,46.83,47.51,46.29,47.04,2264400,0.0,0
2019-04-15,47.01,47.05,46.15,46.29,1295600,0.0,0
2019-04-16,46.44,46.97,45.82,46.89,1722600,0.0,0
2019-04-17,47.13,47.17,46.5,46.98,1754900,0.0,0
2019-04-18,46.95,46.96,45.88,45.95,2392700,0.0,0
2019-04-22,45.75,45.99,45.32,45.38,2964400,0.0,0
2019-04-23,45.29,47.68,45.29,47.45,3857600,0.0,0
2019-04-24,47.4,47.4,46.17,47.02,1955900,0.0,0
2019-04-25,46.84,47.33,46.55,46.98,1275100,0.0,0
2019-04-26,46.98,47.42,46.64,47.36,1013800,0.0,0
2019-04-29,47.53,48.42,47.53,48.01,1836200,0.0,0
2019-04-30,47.98,48.11,47.48,47.93,1775500,0.0,0
2019-05-01,47.94,48.44,47.12,47.2,1732500,0.0,0
2019-05-02,47.24,48.23,47.24,48.07,1560500,0.0,0
2019-05-03,48.32,48.77,48.25,48.63,1698200,0.0,0
2019-05-06,47.79,48.56,47.71,48.27,1632500,0.0,0
2019-05-07,47.72,47.78,47.08,47.32,1936400,0.0,0
2019-05-08,47.08,47.37,46.79,46.82,1665600,0.0,0
2019-05-09,46.26,47.07,45.96,46.87,1889000,0.0,0
2019-05-10,46.57,47.29,46.25,47.06,1676200,0.0,0
2019-05-13,46.1,46.43,44.61,44.72,2551800,0.0,0
2019-05-14,44.81,45.69,44.61,45.12,2510300,0.0,0
2019-05-15,44.58,44.8,43.75,44.13,2629700,0.3,0
2019-05-16,44.17,45.01,44.17,44.56,1639700,0.0,0
2019-05-17,44.15,44.86,44.03,44.1,2112100,0.0,0
2019-05-20,44.04,44.53,43.65,43.91,1730700,0.0,0
2019-05-21,44.35,44.9,44.17,44.77,2491900,0.0,0
2019-05-22,44.46,44.66,43.83,44.41,1985800,0.0,0
