Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,97.88,99.33,97.66,99.06,1658900,0.0,0
2019-03-22,98.44,98.75,97.31,97.36,1489200,0.0,0
2019-03-25,96.85,97.99,96.68,97.36,1402400,0.0,0
2019-03-26,97.97,98.78,97.77,98.25,1795400,0.0,0
2019-03-27,97.87,98.73,97.54,97.95,1487300,0.0,0
2019-03-28,98.06,99.0,98.02,98.81,2278700,0.0,0
2019-03-29,99.3,100.35,99.13,100.09,2323000,0.0,0
2019-04-01,101.82,101.87,100.7,100.95,2659700,0.0,0
2019-04-02,101.15,101.79,100.98,101.45,1737900,0.0,0
2019-04-03,101.74,102.07,100.99,101.53,1769100,0.0,0
2019-04-04,101.6,101.81,100.06,101.39,2475500,0.0,0
2019-04-05,101.91,102.73,101.09,101.53,1865700,0.0,0
2019-04-08,101.64,101.9,101.11,101.64,1909500,0.0,0
2019-04-09,101.0,101.36,100.6,100.87,1657100,0.0,0
2019-04-10,101.16,101.39,100.63,100.74,1566700,0.0,0
2019-04-11,101.06,101.15,100.16,100.47,1062700,0.0,0
2019-04-12,100.97,101.34,100.33,101.08,1829000,0.0,0
2019-04-15,101.27,101.41,100.58,100.67,1680400,0.0,0
2019-04-16,101.37,101.74,98.47,98.59,2014200,0.0,0
2019-04-17,99.0,99.51,96.49,97.57,2142500,0.164,0
2019-04-18,98.12,98.84,96.7,98.62,3420400,0.0,0
2019-04-22,98.31,99.73,98.23,99.7,2058500,0.0,0
2019-04-23,99.84,101.72,99.19,101.55,2716900,0.0,0
2019-04-24,101.47,101.81,100.61,100.68,2196400,0.0,0
2019-04-25,100.35,101.59,99.59,101.41,1494200,0.0,0
2019-04-26,101.81,102.96,100.74,102.92,2035400,0.0,0
2019-04-29,102.27,102.74,100.46,100.84,3445100,0.0,0
2019-04-30,100.82,101.83,100.21,101.42,2356400,0.0,0
2019-05-01,101.7,102.37,100.58,101.37,2095100,0.0,0
2019-05-02,99.85,102.74,99.85,102.72,2003600,0.0,0
2019-05-03,102.11,103.54,101.58,103.32,1965200,0.0,0
2019-05-06,101.83,103.15,101.76,102.9,1301000,0.0,0
2019-05-07,102.21,102.49,100.16,100.95,1673400,0.0,0
2019-05-08,100.72,101.84,100.72,101.44,1367600,0.0,0
2019-05-09,100.77,102.14,100.56,101.25,1517100,0.0,0
2019-05-10,101.16,102.07,99.62,101.86,1885800,0.0,0
2019-05-13,100.1,101.42,99.89,100.93,1754400,0.0,0
2019-05-14,101.47,101.88,100.79,100.83,1711700,0.0,0
2019-05-15,100.32,102.0,100.23,101.42,1459500,0.0,0
2019-05-16,101.97,103.41,101.87,102.5,1929800,0.0,0
2019-05-17,101.28,102.11,100.94,101.55,2042100,0.0,0
2019-05-20,101.22,102.04,100.82,101.79,1665000,0.0,0
2019-05-21,102.32,102.87,101.86,101.95,1166700,0.0,0
2019-05-22,101.94,103.01,101.42,102.51,1059200,0.0,0
2019-05-23,102.35,102.63,101.54,102.46,1726200,0.0,0
2019-05-24,103.07,103.98,101.87,101.97,1266700,0.0,0
2019-05-28,102.17,103.14,100.98,101.6,4303700,0.0,0
2019-05-29,101.33,101.61,100.25,100.73,1883100,0.0,0
2019-05-30,100.88,101.92,100.82,101.9,1281800,0.0,0
2019-05-31,101.07,101.86,100.14,100.63,1642100,0.0,0
2019-06-03,101.12,104.43,101.12,103.52,3397100,0.0,0
2019-06-04,104.64,107.78,104.42,107.67,3712100,0.0,0
2019-06-05,107.87,108.9,107.85,108.05,3224100,0.0,0
2019-06-06,108.23,109.9,107.94,108.44,3123400,0.0,0
2019-06-07,108.6,110.44,108.6,109.6,1964800,0.0,0
2019-06-10,109.82,110.27,108.65,109.76,2730000,0.0,0
2019-06-11,110.04,111.2,109.07,109.7,1706300,0.0,0
2019-06-12,109.63,111.24,109.63,110.98,1907300,0.0,0
2019-06-13,111.52,111.78,109.14,109.57,1790000,0.0,0
2019-06-14,109.26,110.99,109.05,110.33,1790100,0.0,0
2019-06-17,110.5,110.79,109.58,110.35,1726700,0.0,0
2019-06-18,110.71,113.02,110.26,112.91,2572900,0.0,0
2019-06-19,112.86,113.97,112.56,113.8,2026700,0.0,0
2019-06-20,114.85,115.99,112.34,112.5,3083300,0.0,0
2019-06-21,112.29,113.44,111.43,112.41,3468800,0.0,0
2019-06-24,112.89,113.56,112.0,113.0,1875700,0.0,0
2019-06-25,113.46,114.94,113.25,113.39,1669200,0.0,0
2019-06-26,113.5,113.93,111.21,112.58,1743100,0.0,0
2019-06-27,112.73,113.31,112.11,112.29,1348800,0.0,0
2019-06-28,112.62,113.14,111.81,113.02,2414100,0.0,0
2019-07-01,113.85,113.93,112.62,113.1,1470700,0.0,0
2019-07-02,113.47,114.29,112.74,114.11,1568100,0.0,0
2019-07-03,114.71,114.94,113.79,114.86,1052000,0.0,0
2019-07-05,114.86,115.15,113.44,113.7,1762400,0.0,0
2019-07-08,113.32,113.88,112.83,113.63,1267300,0.0,0
2019-07-09,112.69,114.28,112.28,112.79,2722000,0.0,0
2019-07-10,113.2,115.14,112.71,114.09,1763700,0.0,0
2019-07-11,113.84,114.08,112.86,113.87,1588000,0.0,0
2019-07-12,114.13,114.48,111.96,112.84,1473400,0.0,0
2019-07-15,112.69,113.3,112.04,113.1,1255200,0.0,0
2019-07-16,113.79,114.56,113.0,113.01,1214600,0.0,0
2019-07-17,113.53,114.48,113.1,113.21,1930300,0.0,0
2019-07-18,114.04,114.89,113.71,114.63,1177700,0.164,0
2019-07-19,115.33,115.57,113.7,113.78,1839000,0.0,0
2019-07-22,114.78,116.37,113.91,115.62,3063400,0.0,0
2019-07-23,115.31,115.82,114.13,115.62,1209600,0.0,0
2019-07-24,115.49,115.62,113.73,115.13,1581200,0.0,0
2019-07-25,115.11,115.66,114.16,114.34,1174500,0.0,0
2019-07-26,114.84,114.84,114.15,114.8,1574100,0.0,0
2019-07-29,114.76,115.66,114.09,115.24,1541500,0.0,0
2019-07-30,114.69,115.52,114.0,115.47,1380800,0.0,0
2019-07-31,115.16,116.04,114.05,114.58,2099800,0.0,0
2019-08-01,114.59,116.71,113.71,115.39,2101200,0.0,0
2019-08-02,115.39,116.66,115.11,116.04,2227000,0.0,0
2019-08-05,114.76,115.21,111.57,112.26,3488100,0.0,0
2019-08-06,117.27,121.48,117.16,120.84,4042200,0.0,0
2019-08-07,120.22,121.07,118.24,120.56,2659000,0.0,0
2019-08-08,121.73,124.0,121.17,123.77,2295000,0.0,0
2019-08-09,123.78,125.54,123.58,124.73,1658000,0.0,0
2019-08-12,123.63,124.13,121.94,123.62,1470300,0.0,0
2019-08-13,122.21,125.14,122.21,124.36,1784700,0.0,0
2019-08-14,123.06,124.08,121.25,121.46,1875200,0.0,0
2019-08-15,121.55,123.77,121.2,123.34,1650300,0.0,0
