Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-06,26.0,31.4,25.5,28.64,7624500,0,0
2020-02-07,30.45,34.15,29.31,31.92,3225300,0,0
2020-02-10,32.38,33.45,28.11,28.94,2007700,0,0
2020-02-11,28.75,29.52,26.65,26.79,1253500,0,0
2020-02-12,27.33,28.22,26.66,27.13,1510600,0,0
2020-02-13,27.08,27.55,26.06,26.6,595100,0,0
2020-02-14,26.61,27.1,26.24,26.9,564800,0,0
2020-02-18,27.17,32.16,27.0,31.9,1502000,0,0
2020-02-19,32.28,36.41,32.28,35.72,1626900,0,0
2020-02-20,36.4,48.73,32.84,47.62,6922300,0,0
2020-02-21,51.55,54.83,45.0,50.0,7124200,0,0
2020-02-24,45.0,56.65,44.0,52.99,4328800,0,0
2020-02-25,54.1,54.5,43.16,43.59,2795700,0,0
2020-02-26,45.95,47.55,40.06,42.39,2134900,0,0
2020-02-27,39.0,51.12,38.0,43.43,2922700,0,0
2020-02-28,43.52,47.49,42.5,46.38,1396100,0,0
2020-03-02,48.23,49.77,43.0,44.75,1224000,0,0
2020-03-03,44.55,45.68,39.06,39.51,1445800,0,0
2020-03-04,41.97,43.77,39.51,43.0,1006600,0,0
2020-03-05,41.89,43.98,40.51,41.17,774700,0,0
2020-03-06,39.9,43.66,39.2,43.32,799700,0,0
2020-03-09,38.58,41.41,37.18,37.25,1015500,0,0
2020-03-10,39.38,39.89,32.1,35.03,1041200,0,0
2020-03-11,33.29,37.03,32.01,35.52,874700,0,0
2020-03-12,38.49,43.75,35.0,37.31,2692400,0,0
2020-03-13,39.75,40.49,34.53,35.58,1388600,0,0
2020-03-16,32.45,32.5,30.01,30.38,1041500,0,0
2020-03-17,31.01,31.57,27.04,30.37,1152500,0,0
2020-03-18,29.1,33.63,27.68,28.96,965300,0,0

